# z, H_obs, sigma_H, H_model, residual
0.070000 69.000000 19.600000 72.189310 -3.189310
0.090000 69.000000 12.000000 72.663025 -3.663025
0.120000 68.600000 26.200000 73.439851 -4.839851
0.170000 83.000000 8.000000 74.905630 8.094370
0.179000 75.000000 4.000000 75.191518 -0.191518
0.199000 75.000000 5.000000 75.850268 -0.850268
0.200000 72.900000 29.600000 75.884046 -2.984046
0.270000 77.000000 14.000000 78.441070 -1.441070
0.280000 88.800000 36.600000 78.836477 9.963523
0.352000 83.000000 14.000000 81.893704 1.106296
0.380200 83.000000 13.500000 83.187736 -0.187736
0.400000 95.000000 17.000000 84.127373 10.872627
0.400400 77.000000 10.200000 84.146615 -7.146615
0.424700 87.100000 11.200000 85.334496 1.765504
0.449700 92.800000 12.900000 86.594765 6.205235
0.470000 89.000000 50.000000 87.645841 1.354159
0.478300 80.900000 9.000000 88.082608 -7.182608
0.480000 97.000000 62.000000 88.172563 8.827437
0.593000 104.000000 13.000000 94.513736 9.486264
0.680000 92.000000 8.000000 99.846946 -7.846946
0.781000 105.000000 12.000000 106.480150 -1.480150
0.875000 125.000000 17.000000 113.041116 11.958884
0.880000 90.000000 40.000000 113.399906 -23.399906
0.900000 117.000000 23.000000 114.844606 2.155394
1.037000 154.000000 20.000000 125.132188 28.867812
1.300000 168.000000 17.000000 146.593488 21.406512
1.363000 160.000000 33.600000 152.033101 7.966899
1.430000 177.000000 18.000000 157.934502 19.065498
1.530000 140.000000 14.000000 166.956330 -26.956330
1.750000 202.000000 40.000000 187.648700 14.351300
1.965000 186.500000 50.400000 208.907701 -22.407701
