# z, H_model(z)
0.000000 70.820174
0.010862 71.002456
0.021724 71.195978
0.032585 71.400633
0.043447 71.616312
0.054309 71.842910
0.065171 72.080316
0.076033 72.328424
0.086894 72.587126
0.097756 72.856315
0.108618 73.135881
0.119480 73.425717
0.130342 73.725716
0.141204 74.035770
0.152065 74.355770
0.162927 74.685610
0.173789 75.025182
0.184651 75.374379
0.195513 75.733094
0.206374 76.101220
0.217236 76.478651
0.228098 76.865281
0.238960 77.261004
0.249822 77.665717
0.260683 78.079313
0.271545 78.501690
0.282407 78.932744
0.293269 79.372373
0.304131 79.820474
0.314992 80.276946
0.325854 80.741690
0.336716 81.214605
0.347578 81.695592
0.358440 82.184555
0.369302 82.681396
0.380163 83.186019
0.391025 83.698329
0.401887 84.218232
0.412749 84.745636
0.423611 85.280449
0.434472 85.822579
0.445334 86.371938
0.456196 86.928436
0.467058 87.491986
0.477920 88.062502
0.488781 88.639899
0.499643 89.224093
0.510505 89.815001
0.521367 90.412540
0.532229 91.016632
0.543090 91.627196
0.553952 92.244155
0.564814 92.867431
0.575676 93.496949
0.586538 94.132634
0.597399 94.774413
0.608261 95.422214
0.619123 96.075965
0.629985 96.735597
0.640847 97.401041
0.651709 98.072229
0.662570 98.749095
0.673432 99.431574
0.684294 100.119601
0.695156 100.813113
0.706018 101.512048
0.716879 102.216346
0.727741 102.925946
0.738603 103.640790
0.749465 104.360819
0.760327 105.085978
0.771188 105.816210
0.782050 106.551461
0.792912 107.291676
0.803774 108.036804
0.814636 108.786792
0.825497 109.541590
0.836359 110.301147
0.847221 111.065415
0.858083 111.834345
0.868945 112.607891
0.879807 113.386005
0.890668 114.168643
0.901530 114.955759
0.912392 115.747311
0.923254 116.543254
0.934116 117.343547
0.944977 118.148148
0.955839 118.957017
0.966701 119.770113
0.977563 120.587397
0.988425 121.408832
0.999286 122.234378
1.010148 123.064000
1.021010 123.897660
1.031872 124.735324
1.042734 125.576955
1.053595 126.422521
1.064457 127.271985
1.075319 128.125317
1.086181 128.982483
1.097043 129.843451
1.107905 130.708190
1.118766 131.576669
1.129628 132.448857
1.140490 133.324726
1.151352 134.204246
1.162214 135.087388
1.173075 135.974125
1.183937 136.864428
1.194799 137.758271
1.205661 138.655626
1.216523 139.556468
1.227384 140.460772
1.238246 141.368511
1.249108 142.279661
1.259970 143.194198
1.270832 144.112097
1.281693 145.033336
1.292555 145.957891
1.303417 146.885739
1.314279 147.816858
1.325141 148.751226
1.336003 149.688822
1.346864 150.629625
1.357726 151.573612
1.368588 152.520765
1.379450 153.471063
1.390312 154.424486
1.401173 155.381014
1.412035 156.340629
1.422897 157.303312
1.433759 158.269043
1.444621 159.237806
1.455482 160.209582
1.466344 161.184353
1.477206 162.162101
1.488068 163.142811
1.498930 164.126465
1.509791 165.113047
1.520653 166.102540
1.531515 167.094928
1.542377 168.090196
1.553239 169.088328
1.564101 170.089309
1.574962 171.093124
1.585824 172.099757
1.596686 173.109195
1.607548 174.121423
1.618410 175.136427
1.629271 176.154193
1.640133 177.174707
1.650995 178.197956
1.661857 179.223927
1.672719 180.252606
1.683580 181.283980
1.694442 182.318037
1.705304 183.354764
1.716166 184.394149
1.727028 185.436180
1.737889 186.480844
1.748751 187.528130
1.759613 188.578026
1.770475 189.630521
1.781337 190.685603
1.792198 191.743261
1.803060 192.803484
1.813922 193.866261
1.824784 194.931582
1.835646 195.999435
1.846508 197.069811
1.857369 198.142699
1.868231 199.218089
1.879093 200.295970
1.889955 201.376334
1.900817 202.459170
1.911678 203.544468
1.922540 204.632220
1.933402 205.722415
1.944264 206.815045
1.955126 207.910100
1.965987 209.007571
1.976849 210.107449
1.987711 211.209726
1.998573 212.314392
2.009435 213.421440
2.020296 214.530861
2.031158 215.642646
2.042020 216.756786
2.052882 217.873275
2.063744 218.992104
2.074606 220.113264
2.085467 221.236748
2.096329 222.362548
2.107191 223.490657
2.118053 224.621066
2.128915 225.753769
2.139776 226.888758
2.150638 228.026025
2.161500 229.165563
