# z, mu_obs, sigma_mu, mu_model, residual
0.001220 28.998700 1.516450 28.500043 0.498657
0.001220 29.055900 1.517470 28.500043 0.555857
0.002560 30.723300 0.782372 30.112358 0.610942
0.002560 30.744900 0.799068 30.112358 0.632542
0.002990 30.775700 0.881212 30.450290 0.325410
0.003170 30.794600 0.614535 30.577463 0.217137
0.003310 30.460400 0.594683 30.671500 -0.211100
0.003310 30.552800 0.580251 30.671500 -0.118700
0.003310 30.401300 0.578445 30.671500 -0.270200
0.003310 30.510700 0.578546 30.671500 -0.160800
0.003330 31.501100 0.591006 30.684609 0.816491
0.003490 31.793300 0.552720 30.786748 1.006552
0.003490 31.496700 0.545492 30.786748 0.709952
0.003590 31.696900 0.550993 30.848243 0.848657
0.003840 30.999900 0.566505 30.994818 0.005082
0.004070 31.393300 0.476404 31.121510 0.271790
0.004070 31.377900 0.479276 31.121510 0.256390
0.004320 31.499000 0.514259 31.251380 0.247620
0.004320 31.561100 0.530838 31.251380 0.309720
0.004650 31.930900 0.442017 31.411804 0.519096
0.004650 32.033000 0.420403 31.411804 0.621196
0.004820 31.247600 0.558603 31.490079 -0.242479
0.004830 31.133100 0.446882 31.494598 -0.361498
0.004830 31.652500 0.564724 31.494598 0.157902
0.004830 31.223400 0.410577 31.494598 -0.271198
0.004830 31.340000 0.562589 31.494598 -0.154598
0.004830 31.763500 0.574442 31.494598 0.268902
0.004880 31.447300 0.448264 31.517052 -0.069752
0.004880 31.539000 0.407028 31.517052 0.021948
0.005380 31.651200 0.514401 31.729787 -0.078587
0.005480 31.728200 0.501431 31.769966 -0.041766
0.005700 31.911700 0.469628 31.855834 0.055866
0.005700 31.898500 0.483668 31.855834 0.042666
0.005710 31.679900 0.375913 31.859654 -0.179754
0.005710 31.629200 0.385756 31.859654 -0.230454
0.005870 31.740300 0.491367 31.919891 -0.179591
0.005880 32.182200 0.339643 31.923601 0.258599
0.005920 32.468500 0.487055 31.938381 0.530119
0.006020 31.940400 0.344335 31.974901 -0.034501
0.006020 32.066600 0.343707 31.974901 0.091699
0.006020 31.910200 0.350249 31.974901 -0.064701
0.006160 30.907900 0.524992 32.025030 -1.117130
0.006160 31.185700 0.452235 32.025030 -0.839330
0.006250 32.066700 0.325930 32.056663 0.010037
0.006250 32.002300 0.361560 32.056663 -0.054363
0.006250 32.099900 0.322811 32.056663 0.043237
0.006250 32.033700 0.339166 32.056663 -0.022963
0.006300 32.075400 0.533991 32.074042 0.001358
0.006300 32.084300 0.537335 32.074042 0.010258
0.006300 32.020300 0.538159 32.074042 -0.053742
0.006310 32.833300 0.562902 32.077501 0.755799
0.006340 32.400100 0.482567 32.087847 0.312253
0.006480 32.460800 0.318474 32.135493 0.325307
0.006480 32.433800 0.322290 32.135493 0.298307
