# z, mu_model(z)
0.000610 26.993479
0.010143 33.114555
0.019677 34.568871
0.029210 35.441962
0.038744 36.070222
0.048277 36.562585
0.057811 36.968353
0.067344 37.314029
0.076878 37.615526
0.086411 37.883145
0.095944 38.123945
0.105478 38.342993
0.115011 38.544025
0.124545 38.729885
0.134078 38.902779
0.143612 39.064468
0.153145 39.216378
0.162679 39.359672
0.172212 39.495313
0.181746 39.624102
0.191279 39.746731
0.200812 39.863787
0.210346 39.975776
0.219879 40.083135
0.229413 40.186237
0.238946 40.285426
0.248480 40.381001
0.258013 40.473224
0.267547 40.562330
0.277080 40.648523
0.286613 40.732000
0.296147 40.812932
0.305680 40.891474
0.315214 40.967764
0.324747 41.041929
0.334281 41.114092
0.343814 41.184359
0.353348 41.252830
0.362881 41.319593
0.372414 41.384733
0.381948 41.448331
0.391481 41.510459
0.401015 41.571184
0.410548 41.630565
0.420082 41.688664
0.429615 41.745536
0.439149 41.801232
0.448682 41.855801
0.458215 41.909282
0.467749 41.961723
0.477282 42.013163
0.486816 42.063640
0.496349 42.113188
0.505883 42.161839
0.515416 42.209626
0.524950 42.256582
0.534483 42.302732
0.544017 42.348104
0.553550 42.392722
0.563083 42.436611
0.572617 42.479797
0.582150 42.522300
0.591684 42.564140
0.601217 42.605336
0.610751 42.645910
0.620284 42.685881
0.629818 42.725265
0.639351 42.764076
0.648884 42.802333
0.658418 42.840051
0.667951 42.877246
0.677485 42.913930
0.687018 42.950116
0.696552 42.985818
0.706085 43.021049
0.715619 43.055822
0.725152 43.090147
0.734685 43.124034
0.744219 43.157495
0.753752 43.190541
0.763286 43.223182
0.772819 43.255427
0.782353 43.287284
0.791886 43.318763
0.801420 43.349873
0.810953 43.380623
0.820487 43.411020
0.830020 43.441070
0.839553 43.470784
0.849087 43.500168
0.858620 43.529229
0.868154 43.557973
0.877687 43.586406
0.887221 43.614537
0.896754 43.642371
0.906288 43.669915
0.915821 43.697172
0.925354 43.724149
0.934888 43.750853
0.944421 43.777289
0.953955 43.803461
0.963488 43.829374
0.973022 43.855033
0.982555 43.880444
0.992089 43.905612
1.001622 43.930539
1.011155 43.955231
1.020689 43.979692
1.030222 44.003926
1.039756 44.027938
1.049289 44.051730
1.058823 44.075307
1.068356 44.098674
1.077890 44.121832
1.087423 44.144787
1.096956 44.167541
1.106490 44.190097
1.116023 44.212460
1.125557 44.234632
1.135090 44.256617
1.144624 44.278416
1.154157 44.300034
1.163691 44.321473
1.173224 44.342737
1.182758 44.363828
1.192291 44.384748
1.201824 44.405500
1.211358 44.426087
1.220891 44.446512
1.230425 44.466777
1.239958 44.486883
1.249492 44.506834
1.259025 44.526633
1.268559 44.546281
1.278092 44.565780
1.287625 44.585132
1.297159 44.604341
1.306692 44.623407
1.316226 44.642333
1.325759 44.661121
1.335293 44.679772
1.344826 44.698290
1.354360 44.716674
1.363893 44.734929
1.373426 44.753054
1.382960 44.771052
1.392493 44.788924
1.402027 44.806674
1.411560 44.824301
1.421094 44.841807
1.430627 44.859195
1.440161 44.876465
1.449694 44.893620
1.459228 44.910661
1.468761 44.927588
1.478294 44.944404
1.487828 44.961111
1.497361 44.977709
1.506895 44.994199
1.516428 45.010584
1.525962 45.026864
1.535495 45.043041
1.545029 45.059116
1.554562 45.075091
1.564095 45.090965
1.573629 45.106741
1.583162 45.122421
1.592696 45.138004
1.602229 45.153493
1.611763 45.168887
1.621296 45.184189
1.630830 45.199400
1.640363 45.214520
1.649896 45.229551
1.659430 45.244493
1.668963 45.259348
1.678497 45.274116
1.688030 45.288799
1.697564 45.303397
1.707097 45.317912
1.716631 45.332344
1.726164 45.346695
1.735697 45.360964
1.745231 45.375154
1.754764 45.389264
1.764298 45.403297
1.773831 45.417252
1.783365 45.431131
1.792898 45.444933
1.802432 45.458661
1.811965 45.472314
1.821499 45.485895
1.831032 45.499402
1.840565 45.512838
1.850099 45.526203
1.859632 45.539497
1.869166 45.552722
1.878699 45.565877
1.888233 45.578965
1.897766 45.591985
1.907300 45.604938
1.916833 45.617824
1.926366 45.630645
1.935900 45.643401
1.945433 45.656093
1.954967 45.668722
1.964500 45.681287
1.974034 45.693790
1.983567 45.706231
1.993101 45.718610
2.002634 45.730930
2.012167 45.743189
2.021701 45.755388
2.031234 45.767529
2.040768 45.779611
2.050301 45.791635
2.059835 45.803602
2.069368 45.815513
2.078902 45.827367
2.088435 45.839165
2.097969 45.850908
2.107502 45.862596
2.117035 45.874231
2.126569 45.885811
2.136102 45.897338
2.145636 45.908813
2.155169 45.920235
2.164703 45.931605
2.174236 45.942924
2.183770 45.954192
2.193303 45.965409
2.202836 45.976576
2.212370 45.987694
2.221903 45.998763
2.231437 46.009783
2.240970 46.020754
2.250504 46.031678
2.260037 46.042554
2.269571 46.053382
2.279104 46.064165
2.288637 46.074901
2.298171 46.085590
2.307704 46.096235
2.317238 46.106834
2.326771 46.117388
2.336305 46.127898
2.345838 46.138364
2.355372 46.148786
2.364905 46.159165
2.374439 46.169501
