# z, mu_obs, sigma_mu, mu_model, residual
0.001220 28.998700 1.516450 28.513146 0.485554
0.001220 29.055900 1.517470 28.513146 0.542754
0.002560 30.723300 0.782372 30.125460 0.597840
0.002560 30.744900 0.799068 30.125460 0.619440
0.002990 30.775700 0.881212 30.463339 0.312361
0.003170 30.794600 0.614535 30.590459 0.204141
0.003310 30.460400 0.594683 30.684458 -0.224058
0.003310 30.552800 0.580251 30.684458 -0.131658
0.003310 30.401300 0.578445 30.684458 -0.283158
0.003310 30.510700 0.578546 30.684458 -0.173758
0.003330 31.501100 0.591006 30.697562 0.803538
0.003490 31.793300 0.552720 30.799662 0.993638
0.003490 31.496700 0.545492 30.799662 0.697038
0.003590 31.696900 0.550993 30.861135 0.835765
0.003840 30.999900 0.566505 31.007659 -0.007759
0.004070 31.393300 0.476404 31.134309 0.258991
0.004070 31.377900 0.479276 31.134309 0.243591
0.004320 31.499000 0.514259 31.264139 0.234861
0.004320 31.561100 0.530838 31.264139 0.296961
0.004650 31.930900 0.442017 31.424516 0.506384
0.004650 32.033000 0.420403 31.424516 0.608484
0.004820 31.247600 0.558603 31.502770 -0.255170
0.004830 31.133100 0.446882 31.507287 -0.374187
0.004830 31.652500 0.564724 31.507287 0.145213
0.004830 31.223400 0.410577 31.507287 -0.283887
0.004830 31.340000 0.562589 31.507287 -0.167287
0.004830 31.763500 0.574442 31.507287 0.256213
0.004880 31.447300 0.448264 31.529735 -0.082435
0.004880 31.539000 0.407028 31.529735 0.009265
0.005380 31.651200 0.514401 31.742417 -0.091217
0.005480 31.728200 0.501431 31.782587 -0.054387
0.005700 31.911700 0.469628 31.868428 0.043272
0.005700 31.898500 0.483668 31.868428 0.030072
0.005710 31.679900 0.375913 31.872246 -0.192346
0.005710 31.629200 0.385756 31.872246 -0.243046
0.005870 31.740300 0.491367 31.932442 -0.192142
0.005880 32.182200 0.339643 31.936150 0.246050
0.005920 32.468500 0.487055 31.950920 0.517580
0.006020 31.940400 0.344335 31.987417 -0.047017
0.006020 32.066600 0.343707 31.987417 0.079183
0.006020 31.910200 0.350249 31.987417 -0.077217
0.006160 30.907900 0.524992 32.037515 -1.129615
0.006160 31.185700 0.452235 32.037515 -0.851815
0.006250 32.066700 0.325930 32.069128 -0.002428
0.006250 32.002300 0.361560 32.069128 -0.066828
0.006250 32.099900 0.322811 32.069128 0.030772
0.006250 32.033700 0.339166 32.069128 -0.035428
0.006300 32.075400 0.533991 32.086496 -0.011096
0.006300 32.084300 0.537335 32.086496 -0.002196
0.006300 32.020300 0.538159 32.086496 -0.066196
0.006310 32.833300 0.562902 32.089953 0.743347
0.006340 32.400100 0.482567 32.100292 0.299808
0.006480 32.460800 0.318474 32.147910 0.312890
0.006480 32.433800 0.322290 32.147910 0.285890
0.006650 31.732100 0.531169 32.204379 -0.472279
0.006680 31.221700 0.420706 32.214195 -0.992495
0.006730 32.359300 0.359446 32.230459 0.128841
0.006760 31.973300 0.415464 32.240160 -0.266860
0.006770 32.195100 0.340530 32.243384 -0.048284
0.006770 32.172900 0.371125 32.243384 -0.070484
0.006770 32.204800 0.347950 32.243384 -0.038584
0.006920 32.440500 0.439634 32.291188 0.149312
0.007100 32.319300 0.325586 32.347216 -0.027916
0.007100 32.332700 0.348317 32.347216 -0.014516
0.007100 32.322100 0.322655 32.347216 -0.025116
0.007190 32.442300 0.300309 32.374704 0.067596
0.007190 32.464200 0.300269 32.374704 0.089496
0.007470 32.794300 0.289134 32.458092 0.336208
0.007470 32.742300 0.294759 32.458092 0.284208
0.007470 32.768500 0.292411 32.458092 0.310408
0.007500 32.331200 0.373843 32.466843 -0.135643
0.007500 32.299800 0.396652 32.466843 -0.167043
0.007950 32.641800 0.362719 32.594090 0.047710
0.008140 32.716400 0.317031 32.645688 0.070712
0.008140 32.615100 0.317457 32.645688 -0.030588
0.008140 32.709200 0.367554 32.645688 0.063512
0.008150 32.371100 0.371926 32.648371 -0.277271
0.008150 32.743400 0.280148 32.648371 0.095029
0.008150 32.670700 0.286975 32.648371 0.022329
0.008170 32.445500 0.490787 32.653726 -0.208226
0.008180 32.484000 0.342662 32.656399 -0.172399
0.008210 33.213800 0.462834 32.664398 0.549402
0.008380 32.521000 0.465611 32.709186 -0.188186
0.008380 32.692200 0.484865 32.709186 -0.016986
0.008550 32.692800 0.359218 32.753057 -0.060257
0.008550 32.852000 0.318032 32.753057 0.098943
0.008570 32.752700 0.267580 32.758155 -0.005455
0.008610 32.722300 0.383433 32.768317 -0.046017
0.008630 32.374400 0.338325 32.773380 -0.398980
0.008630 32.394500 0.331296 32.773380 -0.378880
0.008630 32.335000 0.337879 32.773380 -0.438380
0.008640 32.419800 0.425219 32.775908 -0.356108
0.008830 32.861600 0.327035 32.823386 0.038214
0.009060 32.799000 0.368859 32.879527 -0.080527
0.009060 32.749800 0.409525 32.879527 -0.129727
0.009250 32.891400 0.286425 32.924853 -0.033453
0.009250 32.897300 0.282867 32.924853 -0.027553
0.009250 32.915900 0.285505 32.924853 -0.008953
0.009350 32.335300 0.401367 32.948340 -0.613040
0.009540 33.039900 0.268981 32.992291 0.047609
0.009540 33.213500 0.253629 32.992291 0.221209
0.009540 33.230900 0.251906 32.992291 0.238609
0.009540 33.246900 0.254885 32.992291 0.254609
0.009570 32.901000 0.309548 32.999152 -0.098152
0.009570 32.865400 0.334488 32.999152 -0.133752
0.009660 32.802900 0.357890 33.019606 -0.216706
0.009660 32.916500 0.372831 33.019606 -0.103106
0.009930 33.475300 0.372879 33.079860 0.395440
0.009960 32.645700 0.409088 33.086455 -0.440755
0.009960 32.745800 0.360296 33.086455 -0.340655
0.009960 32.901500 0.334006 33.086455 -0.184955
0.010160 32.779400 0.348547 33.129925 -0.350525
0.010170 32.918200 0.365223 33.132077 -0.213877
0.010170 32.967400 0.341878 33.132077 -0.164677
0.010260 33.337800 0.306294 33.151345 0.186455
0.010260 33.225300 0.299086 33.151345 0.073955
0.010280 33.278800 0.247952 33.155604 0.123196
0.010420 33.123600 0.317227 33.185191 -0.061591
0.010440 33.086900 0.343916 33.189386 -0.102486
0.010610 33.380600 0.309009 33.224723 0.155877
0.010610 33.293100 0.274570 33.224723 0.068377
0.010730 33.108100 0.364668 33.249333 -0.141233
0.010790 33.068300 0.324016 33.261536 -0.193236
0.010790 33.180900 0.377969 33.261536 -0.080636
0.010960 33.570900 0.314858 33.295751 0.275149
0.011140 33.733700 0.342487 33.331412 0.402288
0.011140 33.636900 0.295220 33.331412 0.305488
0.011220 33.834700 0.353909 33.347080 0.487620
0.011220 33.433600 0.283424 33.347080 0.086520
0.011220 33.494700 0.325172 33.347080 0.147620
0.011550 33.583300 0.281169 33.410487 0.172813
0.011950 33.497400 0.301502 33.484954 0.012446
0.012130 33.878300 0.346381 33.517667 0.360633
0.012200 33.702300 0.266666 33.530260 0.172040
0.012330 33.740300 0.254135 33.553459 0.186841
0.012460 33.828600 0.265115 33.576419 0.252181
0.012580 33.708000 0.240760 33.597404 0.110596
0.012580 33.724600 0.250097 33.597404 0.127196
0.012590 33.587400 0.260060 33.599144 -0.011744
0.012590 33.517800 0.266190 33.599144 -0.081344
0.012790 33.749200 0.416658 33.633660 0.115540
0.012830 33.636500 0.287379 33.640499 -0.003999
0.012830 33.502800 0.331124 33.640499 -0.137699
0.013030 33.735500 0.239783 33.674384 0.061116
0.013030 33.760700 0.287220 33.674384 0.086316
0.013040 33.575200 0.292564 33.676065 -0.100865
0.013040 33.567300 0.284786 33.676065 -0.108765
0.013120 33.520000 0.273536 33.689465 -0.169465
0.013120 33.471700 0.261601 33.689465 -0.217765
0.013250 33.968200 0.303693 33.711071 0.257129
0.013250 33.984600 0.299399 33.711071 0.273529
0.013250 33.924700 0.304606 33.711071 0.213629
0.013750 33.797000 0.277855 33.792272 0.004728
0.013750 33.768300 0.232778 33.792272 -0.023972
0.013750 33.772000 0.235755 33.792272 -0.020272
0.013760 33.764900 0.288791 33.793867 -0.028967
0.013860 33.674100 0.345367 33.809747 -0.135647
0.013880 33.696800 0.233531 33.812909 -0.116109
0.013890 33.805300 0.288803 33.814489 -0.009189
0.013890 33.665100 0.296207 33.814489 -0.149389
0.014110 33.820600 0.250873 33.848959 -0.028359
0.014240 33.844400 0.265489 33.869056 -0.024656
0.014420 34.018700 0.307194 33.896572 0.122128
0.014420 34.024900 0.352338 33.896572 0.128328
0.014420 34.336600 0.370715 33.896572 0.440028
0.014420 34.178100 0.396908 33.896572 0.281528
0.014420 34.252000 0.397235 33.896572 0.355428
0.014460 33.907800 0.240515 33.902641 0.005159
0.014500 34.172700 0.365029 33.908694 0.264006
0.014530 33.752600 0.216300 33.913222 -0.160622
0.014600 33.882600 0.249316 33.923753 -0.041153
0.014620 33.925300 0.243928 33.926753 -0.001453
0.014630 33.755300 0.390506 33.928252 -0.172952
0.014630 33.718900 0.392820 33.928252 -0.209352
0.014670 33.891600 0.240694 33.934235 -0.042635
0.014720 33.789400 0.397352 33.941692 -0.152292
0.014840 34.010900 0.270222 33.959488 0.051412
0.014920 34.190200 0.372674 33.971274 0.218926
0.014930 33.852400 0.277558 33.972743 -0.120343
0.014990 33.974000 0.229564 33.981536 -0.007536
0.014990 33.926100 0.231708 33.981536 -0.055436
0.015150 33.887700 0.294985 34.004816 -0.117116
0.015190 34.179300 0.266770 34.010598 0.168702
0.015250 33.770600 0.302190 34.019244 -0.248644
0.015290 34.033400 0.344305 34.024989 0.008411
0.015420 34.342600 0.372888 34.043560 0.299040
0.015430 34.074400 0.314862 34.044982 0.029418
0.015460 34.033100 0.226465 34.049243 -0.016143
0.015490 34.273200 0.340360 34.053496 0.219704
0.015500 34.258100 0.272528 34.054912 0.203188
0.015500 34.211200 0.258071 34.054912 0.156288
0.015500 33.999400 0.286320 34.054912 -0.055512
0.015500 33.885200 0.313932 34.054912 -0.169712
0.015570 33.790200 0.290577 34.064798 -0.274598
0.015570 33.807200 0.290395 34.064798 -0.257598
0.015620 34.173200 0.264363 34.071833 0.101367
0.015620 34.130200 0.334310 34.071833 0.058367
0.015650 34.331700 0.278713 34.076043 0.255657
0.015760 34.165700 0.286880 34.091413 0.074287
0.015780 33.998600 0.219937 34.094197 -0.095597
0.015780 34.069700 0.290382 34.094197 -0.024497
0.015810 33.992600 0.239289 34.098365 -0.105765
0.015810 33.900400 0.218994 34.098365 -0.197965
0.015870 34.391600 0.270341 34.106679 0.284921
0.015880 34.028700 0.224824 34.108062 -0.079362
0.015900 34.166300 0.242893 34.110824 0.055476
0.015900 34.132300 0.209471 34.110824 0.021476
0.015900 34.032900 0.272511 34.110824 -0.077924
0.016030 34.106200 0.281582 34.128699 -0.022499
0.016520 34.413700 0.346370 34.194821 0.218879
0.016520 33.999900 0.334729 34.194821 -0.194921
0.016560 34.160800 0.218117 34.200134 -0.039334
0.016570 33.972600 0.415280 34.201460 -0.228860
0.016620 34.279300 0.261916 34.208079 0.071221
0.016660 34.340800 0.198023 34.213361 0.127439
0.016710 33.898500 0.245383 34.219945 -0.321445
0.016780 34.167900 0.246475 34.229130 -0.061230
0.016820 34.464900 0.358327 34.234362 0.230538
0.016820 34.534100 0.341619 34.234362 0.299738
0.016820 33.967300 0.284408 34.234362 -0.267062
0.016900 33.841000 0.289311 34.244790 -0.403790
0.016900 33.897500 0.264562 34.244790 -0.347290
0.016920 34.489400 0.310314 34.247389 0.242011
0.016980 34.340900 0.228387 34.255169 0.085731
0.016990 34.075500 0.297815 34.256461 -0.180961
0.017050 34.197300 0.214463 34.264196 -0.066896
0.017180 34.022000 0.308995 34.280864 -0.258864
0.017180 34.200300 0.325329 34.280864 -0.080564
0.017200 34.608400 0.219814 34.283418 0.324982
0.017300 34.143600 0.282690 34.296141 -0.152541
0.017300 34.151700 0.257136 34.296141 -0.144441
0.017330 34.400900 0.221698 34.299945 0.100955
0.017330 34.510100 0.231239 34.299945 0.210155
0.017340 34.361000 0.220285 34.301211 0.059789
0.017370 34.310000 0.263557 34.305005 0.004995
0.017370 34.266900 0.262425 34.305005 -0.038105
0.017430 33.779900 0.330633 34.312575 -0.532675
0.017470 34.322800 0.200241 34.317607 0.005193
0.017470 34.313300 0.197820 34.317607 -0.004307
0.017520 34.146500 0.231417 34.323882 -0.177382
0.017760 34.222100 0.320412 34.353759 -0.131659
0.017780 34.336400 0.210115 34.356231 -0.019831
0.017780 34.246400 0.213428 34.356231 -0.109831
0.017840 34.293900 0.246602 34.363631 -0.069731
0.017840 34.241800 0.222870 34.363631 -0.121831
0.017900 34.297500 0.318912 34.371006 -0.073506
0.018020 34.266100 0.234211 34.385684 -0.119584
0.018080 34.607800 0.201470 34.392987 0.214813
0.018260 34.979200 0.218480 34.414756 0.564444
0.018260 34.200500 0.280568 34.414756 -0.214256
0.018390 34.439300 0.226901 34.430348 0.008952
0.018550 34.492000 0.255362 34.449391 0.042609
0.018550 34.576000 0.296243 34.449391 0.126609
0.018650 34.617100 0.238984 34.461211 0.155889
0.018650 34.571600 0.239989 34.461211 0.110389
0.018660 34.606600 0.277471 34.462390 0.144210
0.018750 34.546600 0.215514 34.472970 0.073630
0.018750 34.486600 0.321023 34.472970 0.013630
0.019050 34.428600 0.281407 34.507883 -0.079283
0.019470 34.774700 0.195403 34.555869 0.218831
0.019470 34.808500 0.195531 34.555869 0.252631
0.019750 34.757000 0.466611 34.587301 0.169699
0.019750 34.739400 0.433516 34.587301 0.152099
0.019760 34.686500 0.406241 34.588416 0.098084
0.019950 34.364800 0.295725 34.609461 -0.244661
0.020010 34.685400 0.204275 34.616063 0.069337
0.020060 34.512100 0.199486 34.621550 -0.109450
0.020190 34.507200 0.233893 34.635754 -0.128554
0.020190 34.702000 0.192460 34.635754 0.066246
0.020230 34.599500 0.188309 34.640107 -0.040607
0.020230 34.501200 0.295566 34.640107 -0.138907
0.020230 34.576000 0.189903 34.640107 -0.064107
0.020230 34.648200 0.187832 34.640107 0.008093
0.020240 34.998800 0.187715 34.641194 0.357606
0.020340 34.816500 0.241825 34.652033 0.164467
0.020340 34.574900 0.375822 34.652033 -0.077133
0.020350 34.570900 0.187708 34.653114 -0.082214
0.020350 34.565600 0.177716 34.653114 -0.087514
0.020350 34.493100 0.190750 34.653114 -0.160014
0.020440 34.655200 0.214591 34.662821 -0.007621
0.020490 35.126300 0.375783 34.668196 0.458104
0.020520 34.556000 0.333904 34.671415 -0.115415
0.020560 34.416800 0.217156 34.675699 -0.258899
0.020560 34.564700 0.249505 34.675699 -0.110999
0.020810 34.486300 0.330445 34.702295 -0.215995
0.020820 34.674000 0.230899 34.703352 -0.029352
0.020820 34.634900 0.254511 34.703352 -0.068452
0.020900 34.811800 0.300223 34.711793 0.100007
0.020960 34.695600 0.216494 34.718103 -0.022503
0.021060 34.669300 0.230687 34.728581 -0.059281
0.021160 34.375000 0.203089 34.739011 -0.364011
0.021160 34.819400 0.196425 34.739011 0.080389
0.021180 35.118000 0.310686 34.741091 0.376909
0.021180 35.205600 0.304103 34.741091 0.464509
0.021310 34.756100 0.180584 34.754565 0.001535
0.021310 34.734400 0.177177 34.754565 -0.020165
0.021310 34.741900 0.187753 34.754565 -0.012665
0.021340 34.762700 0.339971 34.757663 0.005037
0.021370 34.346800 0.199010 34.760757 -0.413957
0.021510 34.589900 0.199177 34.775140 -0.185240
0.021530 34.611400 0.393324 34.777187 -0.165787
0.021700 34.770900 0.195863 34.794514 -0.023614
0.021830 34.758300 0.283448 34.807675 -0.049375
0.021830 34.774200 0.253646 34.807675 -0.033475
0.021970 34.858900 0.246447 34.821764 0.037136
0.021980 34.965400 0.216973 34.822767 0.142633
0.022030 34.673900 0.247785 34.827775 -0.153875
0.022050 34.747700 0.199095 34.829775 -0.082075
0.022070 34.884700 0.186029 34.831774 0.052926
0.022150 35.048100 0.288632 34.839750 0.208350
0.022190 35.013600 0.216159 34.843727 0.169873
0.022280 34.805900 0.180180 34.852652 -0.046752
0.022280 34.823400 0.258110 34.852652 -0.029252
0.022310 34.924500 0.169837 34.855619 0.068881
0.022340 34.772700 0.199004 34.858582 -0.085882
0.022340 34.870400 0.204479 34.858582 0.011818
0.022360 34.781400 0.224663 34.860555 -0.079155
0.022390 34.771400 0.302654 34.863511 -0.092111
0.022390 34.860300 0.243120 34.863511 -0.003211
0.022400 34.759000 0.288719 34.864496 -0.105496
0.022400 34.799700 0.255270 34.864496 -0.064796
0.022410 35.039200 0.214526 34.865480 0.173720
0.022550 34.730600 0.243141 34.879215 -0.148615
0.022660 34.843800 0.220547 34.889946 -0.046146
0.022700 34.869300 0.203300 34.893829 -0.024529
0.022730 34.684900 0.358325 34.896738 -0.211838
0.022950 35.268500 0.304874 34.917953 0.350547
0.022950 34.858400 0.201270 34.917953 -0.059553
0.022980 34.999200 0.267367 34.920831 0.078369
0.022980 34.971200 0.237284 34.920831 0.050369
0.023030 34.985000 0.190740 34.925619 0.059381
0.023070 34.766600 0.340338 34.929442 -0.162842
0.023130 35.022500 0.271221 34.935165 0.087335
0.023160 34.883000 0.274970 34.938021 -0.055021
0.023210 34.916800 0.178524 34.942773 -0.025973
0.023250 35.053700 0.229702 34.946567 0.107133
0.023310 34.647800 0.266962 34.952247 -0.304447
0.023310 34.430100 0.279423 34.952247 -0.522147
0.023420 34.985100 0.282579 34.962623 0.022477
0.023420 35.008100 0.221692 34.962623 0.045477
0.023420 34.978300 0.225403 34.962623 0.015677
0.023430 34.858200 0.260273 34.963564 -0.105364
0.023430 34.858200 0.170636 34.963564 -0.105364
0.023440 34.833100 0.263771 34.964505 -0.131405
0.023520 34.839100 0.215880 34.972015 -0.132915
0.023540 34.999800 0.217718 34.973889 0.025911
0.023570 35.040600 0.206572 34.976696 0.063904
0.023570 34.950900 0.259128 34.976696 -0.025796
0.023570 34.571500 0.261746 34.976696 -0.405196
0.023650 34.954300 0.274039 34.984167 -0.029867
0.023690 34.943000 0.209800 34.987893 -0.044893
0.023880 34.994900 0.180801 35.005508 -0.010608
0.023900 34.889000 0.403697 35.007354 -0.118354
0.023900 34.994000 0.277383 35.007354 -0.013354
0.023910 34.899300 0.190331 35.008277 -0.108977
0.024010 35.101800 0.195014 35.017483 0.084317
0.024110 35.104900 0.310330 35.026651 0.078249
0.024110 34.471100 0.398476 35.026651 -0.555551
0.024120 34.878200 0.224067 35.027566 -0.149366
0.024170 34.942100 0.208286 35.032134 -0.090034
0.024170 35.084000 0.183555 35.032134 0.051866
0.024280 35.180300 0.232251 35.042153 0.138147
0.024290 35.077100 0.195416 35.043062 0.034038
0.024320 34.987100 0.184147 35.045785 -0.058685
0.024320 34.953000 0.198064 35.045785 -0.092785
0.024320 35.231700 0.235205 35.045785 0.185915
0.024340 35.010200 0.201948 35.047599 -0.037399
0.024530 35.008000 0.162015 35.064760 -0.056760
0.024530 35.074600 0.209952 35.064760 0.009840
0.024530 34.949300 0.170871 35.064760 -0.115460
0.024570 35.178400 0.189112 35.068356 0.110044
0.024620 35.106100 0.235556 35.072844 0.033256
0.024620 35.052100 0.231261 35.072844 -0.020744
0.024620 34.889800 0.233972 35.072844 -0.183044
0.024640 34.952800 0.213795 35.074636 -0.121836
0.024640 34.807000 0.182460 35.074636 -0.267636
0.024660 34.811200 0.317595 35.076427 -0.265227
0.024910 35.086200 0.240547 35.098698 -0.012498
0.024940 35.197300 0.228493 35.101356 0.095944
0.025090 35.215200 0.268527 35.114599 0.100601
0.025100 34.836900 0.288042 35.115480 -0.278580
0.025100 34.848200 0.181918 35.115480 -0.267280
0.025100 35.079000 0.205996 35.115480 -0.036480
0.025100 35.009000 0.176889 35.115480 -0.106480
0.025120 35.027600 0.190198 35.117239 -0.089639
0.025130 34.458300 0.333265 35.118118 -0.659818
0.025170 34.911700 0.306484 35.121631 -0.209931
0.025170 35.198900 0.238281 35.121631 0.077269
0.025170 35.227700 0.204374 35.121631 0.106069
0.025190 35.113900 0.155310 35.123386 -0.009486
0.025190 35.114500 0.174825 35.123386 -0.008886
0.025210 34.984200 0.185284 35.125139 -0.140939
0.025250 34.944100 0.240723 35.128641 -0.184541
0.025250 34.906300 0.269066 35.128641 -0.222341
0.025340 35.188200 0.176701 35.136502 0.051698
0.025340 35.197400 0.185937 35.136502 0.060898
0.025560 35.182800 0.233724 35.155590 0.027210
0.025570 35.062100 0.190177 35.156453 -0.094353
0.025850 34.766400 0.344692 35.180484 -0.414084
0.025910 35.118100 0.200181 35.185601 -0.067501
0.025960 35.401400 0.200491 35.189856 0.211544
0.025980 35.293100 0.179545 35.191556 0.101544
0.025980 35.108100 0.198242 35.191556 -0.083456
0.025980 34.835000 0.348314 35.191556 -0.356556
0.025980 35.311100 0.178730 35.191556 0.119544
0.026260 35.285500 0.288909 35.215222 0.070278
0.026260 35.342900 0.323231 35.215222 0.127678
0.026320 35.022300 0.372346 35.220261 -0.197961
0.026690 35.308000 0.179587 35.251095 0.056905
0.026910 35.268800 0.183373 35.269233 -0.000433
0.026910 35.289200 0.205883 35.269233 0.019967
0.026950 35.118400 0.181369 35.272516 -0.154116
0.027130 35.251300 0.186760 35.287229 -0.035929
0.027140 35.322400 0.216057 35.288044 0.034356
0.027300 35.289200 0.298907 35.301038 -0.011838
0.027310 35.267300 0.172357 35.301848 -0.034548
0.027310 35.343700 0.230789 35.301848 0.041852
0.027310 35.111800 0.346591 35.301848 -0.190048
0.027310 35.227000 0.261645 35.301848 -0.074848
0.027360 35.313000 0.220137 35.305892 0.007108
0.027400 35.304200 0.352852 35.309123 -0.004923
0.027410 35.523600 0.225337 35.309929 0.213671
0.027480 35.113000 0.172724 35.315570 -0.202570
0.027480 35.153800 0.186856 35.315570 -0.161770
0.027480 35.111700 0.170295 35.315570 -0.203870
0.027730 35.346700 0.289875 35.335600 0.011100
0.028030 35.725800 0.321699 35.359408 0.366392
0.028050 35.130600 0.184771 35.360986 -0.230386
0.028100 35.673900 0.216353 35.364927 0.308973
0.028160 35.361300 0.190628 35.369648 -0.008348
0.028190 35.317400 0.173415 35.372005 -0.054605
0.028200 35.287400 0.292934 35.372790 -0.085390
0.028230 35.506100 0.163093 35.375143 0.130957
0.028230 35.556300 0.160218 35.375143 0.181157
0.028230 35.558000 0.160985 35.375143 0.182857
0.028330 35.266500 0.177545 35.382967 -0.116467
0.028440 35.372000 0.160301 35.391531 -0.019531
0.028440 35.342100 0.156527 35.391531 -0.049431
0.028490 35.104900 0.181734 35.395413 -0.290513
0.028490 35.436800 0.180322 35.395413 0.041387
0.028490 35.291300 0.178243 35.395413 -0.104113
0.028490 35.359000 0.180243 35.395413 -0.036413
0.028490 35.196300 0.366604 35.395413 -0.199113
0.028570 35.599600 0.235009 35.401611 0.197989
0.028580 35.659600 0.251383 35.402385 0.257215
0.028660 35.344900 0.211378 35.408564 -0.063664
0.028660 35.410500 0.201911 35.408564 0.001936
0.028730 34.948700 0.227749 35.413957 -0.465257
0.028880 35.276300 0.655117 35.425472 -0.149172
0.028980 35.477900 0.275376 35.433116 0.044784
0.029020 35.055800 0.218663 35.436167 -0.380367
0.029130 35.515200 0.250819 35.444535 0.070665
0.029150 35.694800 0.183345 35.446053 0.248747
0.029170 35.239100 0.185823 35.447571 -0.208471
0.029190 35.602400 0.169987 35.449087 0.153313
0.029380 35.622200 0.299966 35.463441 0.158759
0.029380 35.472000 0.225755 35.463441 0.008559
0.029440 35.276100 0.180915 35.467956 -0.191856
0.029470 35.093900 0.272694 35.470210 -0.376310
0.029490 35.607900 0.224233 35.471711 0.136189
0.029500 35.363800 0.283742 35.472461 -0.108661
0.029530 35.465400 0.177866 35.474711 -0.009311
0.029560 35.506400 0.190895 35.476958 0.029442
0.029690 35.278100 0.194122 35.486671 -0.208571
0.029780 35.501500 0.190369 35.493371 0.008129
0.029780 35.511600 0.190788 35.493371 0.018229
0.029900 35.435400 0.185335 35.502275 -0.066875
0.029960 35.861000 0.192522 35.506714 0.354286
0.030120 35.519500 0.196088 35.518509 0.000991
0.030120 35.483800 0.199296 35.518509 -0.034709
0.030120 35.476100 0.233488 35.518509 -0.042409
0.030230 35.518500 0.166012 35.526583 -0.008083
0.030310 35.554200 0.216273 35.532437 0.021763
0.030360 35.480300 0.173804 35.536089 -0.055789
0.030470 35.534500 0.258248 35.544102 -0.009602
0.030590 35.358600 0.164518 35.552811 -0.194211
0.030750 35.352200 0.343157 35.564373 -0.212173
0.030760 35.608400 0.212671 35.565094 0.043306
0.030830 35.464800 0.278746 35.570132 -0.105332
0.030860 35.416400 0.184841 35.572288 -0.155888
0.030910 35.492600 0.166476 35.575877 -0.083277
