# z, mu_model(z)
0.000610 27.006556
0.010143 33.126347
0.019677 34.579077
0.029210 35.450640
0.038744 36.077431
0.048277 36.568381
0.057811 36.972802
0.067344 37.317194
0.076878 37.617469
0.086411 37.883923
0.095944 38.123616
0.105478 38.341615
0.115011 38.541656
0.124545 38.726580
0.134078 38.898592
0.143612 39.059451
0.153145 39.210585
0.162679 39.353154
0.172212 39.488122
0.181746 39.616285
0.191279 39.738336
0.200812 39.854863
0.210346 39.966369
0.219879 40.073289
0.229413 40.175996
0.238946 40.274835
0.248480 40.370101
0.258013 40.462058
0.267547 40.550937
0.277080 40.636942
0.286613 40.720271
0.296147 40.801091
0.305680 40.879559
0.315214 40.955811
0.324747 41.029973
0.334281 41.102166
0.343814 41.172497
0.353348 41.241064
0.362881 41.307956
0.372414 41.373254
0.381948 41.437041
0.391481 41.499387
0.401015 41.560359
0.410548 41.620015
0.420082 41.678415
0.429615 41.735614
0.439149 41.791664
0.448682 41.846610
0.458215 41.900494
0.467749 41.953361
0.477282 42.005249
0.486816 42.056197
0.496349 42.106238
0.505883 42.155402
0.515416 42.203724
0.524950 42.251233
0.534483 42.297956
0.544017 42.343920
0.553550 42.389147
0.563083 42.433664
0.572617 42.477494
0.582150 42.520658
0.591684 42.563175
0.601217 42.605064
0.610751 42.646346
0.620284 42.687038
0.629818 42.727158
0.639351 42.766720
0.648884 42.805740
0.658418 42.844234
0.667951 42.882217
0.677485 42.919702
0.687018 42.956700
0.696552 42.993225
0.706085 43.029291
0.715619 43.064908
0.725152 43.100088
0.734685 43.134839
0.744219 43.169174
0.753752 43.203103
0.763286 43.236636
0.772819 43.269781
0.782353 43.302546
0.791886 43.334942
0.801420 43.366976
0.810953 43.398657
0.820487 43.429991
0.830020 43.460987
0.839553 43.491652
0.849087 43.521993
0.858620 43.552017
0.868154 43.581730
0.877687 43.611139
0.887221 43.640249
0.896754 43.669068
0.906288 43.697601
0.915821 43.725852
0.925354 43.753829
0.934888 43.781535
0.944421 43.808978
0.953955 43.836160
0.963488 43.863087
0.973022 43.889764
0.982555 43.916196
0.992089 43.942387
1.001622 43.968342
1.011155 43.994062
1.020689 44.019555
1.030222 44.044824
1.039756 44.069873
1.049289 44.094704
1.058823 44.119322
1.068356 44.143731
1.077890 44.167934
1.087423 44.191935
1.096956 44.215737
1.106490 44.239342
1.116023 44.262754
1.125557 44.285978
1.135090 44.309014
1.144624 44.331867
1.154157 44.354538
1.163691 44.377032
1.173224 44.399351
1.182758 44.421497
1.192291 44.443473
1.201824 44.465281
1.211358 44.486925
1.220891 44.508406
1.230425 44.529728
1.239958 44.550890
1.249492 44.571898
1.259025 44.592753
1.268559 44.613456
1.278092 44.634011
1.287625 44.654418
1.297159 44.674681
1.306692 44.694801
1.316226 44.714781
1.325759 44.734621
1.335293 44.754324
1.344826 44.773892
1.354360 44.793327
1.363893 44.812631
1.373426 44.831804
1.382960 44.850849
1.392493 44.869768
1.402027 44.888562
1.411560 44.907233
1.421094 44.925782
1.430627 44.944210
1.440161 44.962521
1.449694 44.980714
1.459228 44.998792
1.468761 45.016755
1.478294 45.034605
1.487828 45.052344
1.497361 45.069974
1.506895 45.087494
1.516428 45.104906
1.525962 45.122213
1.535495 45.139414
1.545029 45.156512
1.554562 45.173508
1.564095 45.190402
1.573629 45.207196
1.583162 45.223891
1.592696 45.240488
1.602229 45.256989
1.611763 45.273394
1.621296 45.289704
1.630830 45.305921
1.640363 45.322045
1.649896 45.338078
1.659430 45.354021
1.668963 45.369874
1.678497 45.385639
1.688030 45.401316
1.697564 45.416906
1.707097 45.432411
1.716631 45.447831
1.726164 45.463168
1.735697 45.478421
1.745231 45.493592
1.754764 45.508683
1.764298 45.523692
1.773831 45.538623
1.783365 45.553474
1.792898 45.568247
1.802432 45.582944
1.811965 45.597564
1.821499 45.612108
1.831032 45.626578
1.840565 45.640973
1.850099 45.655295
1.859632 45.669545
1.869166 45.683723
1.878699 45.697829
1.888233 45.711864
1.897766 45.725830
1.907300 45.739727
1.916833 45.753556
1.926366 45.767316
1.935900 45.781009
1.945433 45.794635
1.954967 45.808196
1.964500 45.821691
1.974034 45.835122
1.983567 45.848488
1.993101 45.861791
2.002634 45.875031
2.012167 45.888208
2.021701 45.901324
2.031234 45.914378
2.040768 45.927372
2.050301 45.940306
2.059835 45.953180
2.069368 45.965994
2.078902 45.978751
2.088435 45.991449
2.097969 46.004090
2.107502 46.016673
2.117035 46.029200
2.126569 46.041671
2.136102 46.054087
2.145636 46.066447
2.155169 46.078753
2.164703 46.091004
2.174236 46.103202
2.183770 46.115347
2.193303 46.127439
2.202836 46.139478
2.212370 46.151466
2.221903 46.163402
2.231437 46.175287
2.240970 46.187122
2.250504 46.198906
2.260037 46.210640
2.269571 46.222325
2.279104 46.233962
2.288637 46.245549
2.298171 46.257088
2.307704 46.268579
2.317238 46.280023
2.326771 46.291420
2.336305 46.302770
2.345838 46.314074
2.355372 46.325332
2.364905 46.336545
2.374439 46.347712
