# z, H_obs, sigma_H, H_model, residual
0.070000 69.000000 19.600000 54.290498 14.709502
0.090000 69.000000 12.000000 55.819948 13.180052
0.120000 68.600000 26.200000 58.140546 10.459454
0.170000 83.000000 8.000000 62.077631 20.922369
0.179000 75.000000 4.000000 62.795404 12.204596
0.199000 75.000000 5.000000 64.400282 10.599718
0.200000 72.900000 29.600000 64.480880 8.419120
0.270000 77.000000 14.000000 70.205580 6.794420
0.280000 88.800000 36.600000 71.036583 17.763417
0.352000 83.000000 14.000000 77.115251 5.884749
0.380200 83.000000 13.500000 79.541120 3.458880
0.400000 95.000000 17.000000 81.259326 13.740674
0.400400 77.000000 10.200000 81.294164 -4.294164
0.424700 87.100000 11.200000 83.419870 3.680130
0.449700 92.800000 12.900000 85.625861 7.174139
0.470000 89.000000 50.000000 87.431225 1.568775
0.478300 80.900000 9.000000 88.172997 -7.272997
0.480000 97.000000 62.000000 88.325185 8.674815
0.593000 104.000000 13.000000 98.635454 5.364546
0.680000 92.000000 8.000000 106.828839 -14.828839
0.781000 105.000000 12.000000 116.611183 -11.611183
0.875000 125.000000 17.000000 125.969885 -0.969885
0.880000 90.000000 40.000000 126.474435 -36.474435
0.900000 117.000000 23.000000 128.499382 -11.499382
1.037000 154.000000 20.000000 142.656596 11.343404
1.300000 168.000000 17.000000 171.189835 -3.189835
1.363000 160.000000 33.600000 178.280644 -18.280644
1.430000 177.000000 18.000000 185.927313 -8.927313
1.530000 140.000000 14.000000 197.539894 -57.539894
1.750000 202.000000 40.000000 223.910040 -21.910040
1.965000 186.500000 50.400000 250.741829 -64.241829
