# z, H_obs, sigma_H, H_model, residual
0.070000 69.000000 19.600000 73.691291 -4.691291
0.090000 69.000000 12.000000 73.917545 -4.917545
0.120000 68.600000 26.200000 74.355505 -5.755505
0.170000 83.000000 8.000000 75.336331 7.663669
0.179000 75.000000 4.000000 75.544801 -0.544801
0.199000 75.000000 5.000000 76.041623 -1.041623
0.200000 72.900000 29.600000 76.067661 -3.167661
0.270000 77.000000 14.000000 78.161247 -1.161247
0.280000 88.800000 36.600000 78.502202 10.297798
0.352000 83.000000 14.000000 81.243069 1.756931
0.380200 83.000000 13.500000 82.445904 0.554096
0.400000 95.000000 17.000000 83.331308 11.668692
0.400400 77.000000 10.200000 83.349534 -6.349534
0.424700 87.100000 11.200000 84.481332 2.618668
0.449700 92.800000 12.900000 85.694944 7.105056
0.470000 89.000000 50.000000 86.715817 2.284183
0.478300 80.900000 9.000000 87.142112 -6.242112
0.480000 97.000000 62.000000 87.230053 9.769947
0.593000 104.000000 13.000000 93.525154 10.474846
0.680000 92.000000 8.000000 98.918813 -6.918813
0.781000 105.000000 12.000000 105.698341 -0.698341
0.875000 125.000000 17.000000 112.450364 12.549636
0.880000 90.000000 40.000000 112.820523 -22.820523
0.900000 117.000000 23.000000 114.311780 2.688220
1.037000 154.000000 20.000000 124.958742 29.041258
1.300000 168.000000 17.000000 147.256358 20.743642
1.363000 160.000000 33.600000 152.918646 7.081354
1.430000 177.000000 18.000000 159.065434 17.934566
1.530000 140.000000 14.000000 168.469879 -28.469879
1.750000 202.000000 40.000000 190.076426 11.923574
1.965000 186.500000 50.400000 212.338213 -25.838213
