# z, H_model(z)
0.000000 73.336913
0.010862 73.345674
0.021724 73.371784
0.032585 73.414994
0.043447 73.475053
0.054309 73.551717
0.065171 73.644742
0.076033 73.753886
0.086894 73.878912
0.097756 74.019584
0.108618 74.175666
0.119480 74.346928
0.130342 74.533138
0.141204 74.734070
0.152065 74.949496
0.162927 75.179193
0.173789 75.422939
0.184651 75.680514
0.195513 75.951701
0.206374 76.236282
0.217236 76.534046
0.228098 76.844780
0.238960 77.168275
0.249822 77.504325
0.260683 77.852725
0.271545 78.213273
0.282407 78.585770
0.293269 78.970018
0.304131 79.365823
0.314992 79.772994
0.325854 80.191341
0.336716 80.620679
0.347578 81.060822
0.358440 81.511591
0.369302 81.972807
0.380163 82.444295
0.391025 82.925883
0.401887 83.417401
0.412749 83.918684
0.423611 84.429566
0.434472 84.949889
0.445334 85.479493
0.456196 86.018224
0.467058 86.565931
0.477920 87.122463
0.488781 87.687676
0.499643 88.261426
0.510505 88.843573
0.521367 89.433979
0.532229 90.032510
0.543090 90.639033
0.553952 91.253421
0.564814 91.875547
0.575676 92.505287
0.586538 93.142520
0.597399 93.787129
0.608261 94.438998
0.619123 95.098013
0.629985 95.764065
0.640847 96.437046
0.651709 97.116850
0.662570 97.803374
0.673432 98.496518
0.684294 99.196183
0.695156 99.902274
0.706018 100.614697
0.716879 101.333359
0.727741 102.058173
0.738603 102.789050
0.749465 103.525906
0.760327 104.268657
0.771188 105.017223
0.782050 105.771524
0.792912 106.531484
0.803774 107.297026
0.814636 108.068077
0.825497 108.844565
0.836359 109.626421
0.847221 110.413577
0.858083 111.205965
0.868945 112.003520
0.879807 112.806180
0.890668 113.613882
0.901530 114.426566
0.912392 115.244173
0.923254 116.066646
0.934116 116.893928
0.944977 117.725965
0.955839 118.562704
0.966701 119.404093
0.977563 120.250080
0.988425 121.100617
0.999286 121.955655
1.010148 122.815147
1.021010 123.679046
1.031872 124.547309
1.042734 125.419891
1.053595 126.296750
1.064457 127.177844
1.075319 128.063132
1.086181 128.952574
1.097043 129.846132
1.107905 130.743769
1.118766 131.645446
1.129628 132.551129
1.140490 133.460781
1.151352 134.374370
1.162214 135.291860
1.173075 136.213221
1.183937 137.138418
1.194799 138.067423
1.205661 139.000203
1.216523 139.936731
1.227384 140.876975
1.238246 141.820909
1.249108 142.768504
1.259970 143.719734
1.270832 144.674573
1.281693 145.632994
1.292555 146.594972
1.303417 147.560483
1.314279 148.529504
1.325141 149.502010
1.336003 150.477978
1.346864 151.457387
1.357726 152.440215
1.368588 153.426440
1.379450 154.416041
1.390312 155.408999
1.401173 156.405293
1.412035 157.404904
1.422897 158.407813
1.433759 159.414002
1.444621 160.423452
1.455482 161.436146
1.466344 162.452066
1.477206 163.471196
1.488068 164.493519
1.498930 165.519019
1.509791 166.547680
1.520653 167.579488
1.531515 168.614426
1.542377 169.652481
1.553239 170.693637
1.564101 171.737882
1.574962 172.785201
1.585824 173.835580
1.596686 174.889007
1.607548 175.945470
1.618410 177.004955
1.629271 178.067450
1.640133 179.132944
1.650995 180.201425
1.661857 181.272881
1.672719 182.347301
1.683580 183.424675
1.694442 184.504992
1.705304 185.588241
1.716166 186.674413
1.727028 187.763498
1.737889 188.855485
1.748751 189.950366
1.759613 191.048132
1.770475 192.148773
1.781337 193.252280
1.792198 194.358646
1.803060 195.467861
1.813922 196.579918
1.824784 197.694809
1.835646 198.812526
1.846508 199.933060
1.857369 201.056406
1.868231 202.182556
1.879093 203.311502
1.889955 204.443239
1.900817 205.577758
1.911678 206.715055
1.922540 207.855121
1.933402 208.997952
1.944264 210.143541
1.955126 211.291883
1.965987 212.442971
1.976849 213.596800
1.987711 214.753365
1.998573 215.912661
2.009435 217.074682
2.020296 218.239423
2.031158 219.406880
2.042020 220.577047
2.052882 221.749921
2.063744 222.925497
2.074606 224.103771
2.085467 225.284737
2.096329 226.468394
2.107191 227.654736
2.118053 228.843759
2.128915 230.035461
2.139776 231.229837
2.150638 232.426884
2.161500 233.626599
