# z, mu_obs, sigma_mu, mu_model, residual
0.001220 28.998700 1.516450 28.499809 0.498891
0.001220 29.055900 1.517470 28.499809 0.556091
0.002560 30.723300 0.782372 30.112123 0.611177
0.002560 30.744900 0.799068 30.112123 0.632777
0.002990 30.775700 0.881212 30.450212 0.325488
0.003170 30.794600 0.614535 30.577542 0.217058
0.003310 30.460400 0.594683 30.671689 -0.211289
0.003310 30.552800 0.580251 30.671689 -0.118889
0.003310 30.401300 0.578445 30.671689 -0.270389
0.003310 30.510700 0.578546 30.671689 -0.160989
0.003330 31.501100 0.591006 30.684814 0.816286
0.003490 31.793300 0.552720 30.787066 1.006234
0.003490 31.496700 0.545492 30.787066 0.709634
0.003590 31.696900 0.550993 30.848628 0.848272
0.003840 30.999900 0.566505 30.995353 0.004547
0.004070 31.393300 0.476404 31.122167 0.271133
0.004070 31.377900 0.479276 31.122167 0.255733
0.004320 31.499000 0.514259 31.252154 0.246846
0.004320 31.561100 0.530838 31.252154 0.308946
0.004650 31.930900 0.442017 31.412714 0.518186
0.004650 32.033000 0.420403 31.412714 0.620286
0.004820 31.247600 0.558603 31.491052 -0.243452
0.004830 31.133100 0.446882 31.495574 -0.362474
0.004830 31.652500 0.564724 31.495574 0.156926
0.004830 31.223400 0.410577 31.495574 -0.272174
0.004830 31.340000 0.562589 31.495574 -0.155574
0.004830 31.763500 0.574442 31.495574 0.267926
0.004880 31.447300 0.448264 31.518046 -0.070746
0.004880 31.539000 0.407028 31.518046 0.020954
0.005380 31.651200 0.514401 31.730938 -0.079738
0.005480 31.728200 0.501431 31.771146 -0.042946
0.005700 31.911700 0.469628 31.857093 0.054607
0.005700 31.898500 0.483668 31.857093 0.041407
0.005710 31.679900 0.375913 31.860920 -0.181020
0.005710 31.629200 0.385756 31.860920 -0.231720
0.005870 31.740300 0.491367 31.921276 -0.180976
0.005880 32.182200 0.339643 31.924994 0.257206
0.005920 32.468500 0.487055 31.939802 0.528698
0.006020 31.940400 0.344335 31.976392 -0.035992
0.006020 32.066600 0.343707 31.976392 0.090208
0.006020 31.910200 0.350249 31.976392 -0.066192
0.006160 30.907900 0.524992 32.026615 -1.118715
0.006160 31.185700 0.452235 32.026615 -0.840915
0.006250 32.066700 0.325930 32.058306 0.008394
0.006250 32.002300 0.361560 32.058306 -0.056006
0.006250 32.099900 0.322811 32.058306 0.041594
0.006250 32.033700 0.339166 32.058306 -0.024606
0.006300 32.075400 0.533991 32.075717 -0.000317
0.006300 32.084300 0.537335 32.075717 0.008583
0.006300 32.020300 0.538159 32.075717 -0.055417
0.006310 32.833300 0.562902 32.079182 0.754118
0.006340 32.400100 0.482567 32.089546 0.310554
0.006480 32.460800 0.318474 32.137277 0.323523
0.006480 32.433800 0.322290 32.137277 0.296523
0.006650 31.732100 0.531169 32.193877 -0.461777
0.006680 31.221700 0.420706 32.203716 -0.982016
0.006730 32.359300 0.359446 32.220017 0.139283
0.006760 31.973300 0.415464 32.229740 -0.256440
0.006770 32.195100 0.340530 32.232971 -0.037871
0.006770 32.172900 0.371125 32.232971 -0.060071
0.006770 32.204800 0.347950 32.232971 -0.028171
0.006920 32.440500 0.439634 32.280882 0.159618
0.007100 32.319300 0.325586 32.337032 -0.017732
0.007100 32.332700 0.348317 32.337032 -0.004332
0.007100 32.322100 0.322655 32.337032 -0.014932
0.007190 32.442300 0.300309 32.364578 0.077722
0.007190 32.464200 0.300269 32.364578 0.099622
0.007470 32.794300 0.289134 32.448141 0.346159
0.007470 32.742300 0.294759 32.448141 0.294159
0.007470 32.768500 0.292411 32.448141 0.320359
0.007500 32.331200 0.373843 32.456909 -0.125709
0.007500 32.299800 0.396652 32.456909 -0.157109
0.007950 32.641800 0.362719 32.584408 0.057392
0.008140 32.716400 0.317031 32.636103 0.080297
0.008140 32.615100 0.317457 32.636103 -0.021003
0.008140 32.709200 0.367554 32.636103 0.073097
0.008150 32.371100 0.371926 32.638791 -0.267691
0.008150 32.743400 0.280148 32.638791 0.104609
0.008150 32.670700 0.286975 32.638791 0.031909
0.008170 32.445500 0.490787 32.644156 -0.198656
0.008180 32.484000 0.342662 32.646834 -0.162834
0.008210 33.213800 0.462834 32.654848 0.558952
0.008380 32.521000 0.465611 32.699719 -0.178719
0.008380 32.692200 0.484865 32.699719 -0.007519
0.008550 32.692800 0.359218 32.743695 -0.050895
0.008550 32.852000 0.318032 32.743695 0.108305
0.008570 32.752700 0.267580 32.748812 0.003888
0.008610 32.722300 0.383433 32.759009 -0.036709
0.008630 32.374400 0.338325 32.764091 -0.389691
0.008630 32.394500 0.331296 32.764091 -0.369591
0.008630 32.335000 0.337879 32.764091 -0.429091
0.008640 32.419800 0.425219 32.766627 -0.346827
0.008830 32.861600 0.327035 32.814271 0.047329
0.009060 32.799000 0.368859 32.870603 -0.071603
0.009060 32.749800 0.409525 32.870603 -0.120803
0.009250 32.891400 0.286425 32.916080 -0.024680
0.009250 32.897300 0.282867 32.916080 -0.018780
0.009250 32.915900 0.285505 32.916080 -0.000180
0.009350 32.335300 0.401367 32.939645 -0.604345
0.009540 33.039900 0.268981 32.983737 0.056163
0.009540 33.213500 0.253629 32.983737 0.229763
0.009540 33.230900 0.251906 32.983737 0.247163
0.009540 33.246900 0.254885 32.983737 0.263163
0.009570 32.901000 0.309548 32.990620 -0.089620
0.009570 32.865400 0.334488 32.990620 -0.125220
0.009660 32.802900 0.357890 33.011139 -0.208239
0.009660 32.916500 0.372831 33.011139 -0.094639
0.009930 33.475300 0.372879 33.071580 0.403720
0.009960 32.645700 0.409088 33.078195 -0.432495
0.009960 32.745800 0.360296 33.078195 -0.332395
0.009960 32.901500 0.334006 33.078195 -0.176695
0.010160 32.779400 0.348547 33.121797 -0.342397
0.010170 32.918200 0.365223 33.123955 -0.205755
0.010170 32.967400 0.341878 33.123955 -0.156555
0.010260 33.337800 0.306294 33.143280 0.194520
0.010260 33.225300 0.299086 33.143280 0.082020
0.010280 33.278800 0.247952 33.147552 0.131248
0.010420 33.123600 0.317227 33.177226 -0.053626
0.010440 33.086900 0.343916 33.181433 -0.094533
0.010610 33.380600 0.309009 33.216873 0.163727
0.010610 33.293100 0.274570 33.216873 0.076227
0.010730 33.108100 0.364668 33.241552 -0.133452
0.010790 33.068300 0.324016 33.253790 -0.185490
0.010790 33.180900 0.377969 33.253790 -0.072890
0.010960 33.570900 0.314858 33.288101 0.282799
0.011140 33.733700 0.342487 33.323860 0.409840
