# z, mu_model(z)
0.000610 26.993036
0.010143 33.117939
0.019677 34.573051
0.029210 35.446452
0.038744 36.074700
0.048277 36.566897
0.057811 36.971903
0.067344 37.316782
0.076878 37.617587
0.086411 37.884606
0.095944 38.124887
0.105478 38.343194
0.115011 38.543519
0.124545 38.728768
0.134078 38.901141
0.143612 39.062386
0.153145 39.213719
0.162679 39.356477
0.172212 39.491659
0.181746 39.620069
0.191279 39.742383
0.200812 39.859029
0.210346 39.970649
0.219879 40.077703
0.229413 40.180569
0.238946 40.279578
0.248480 40.374896
0.258013 40.466902
0.267547 40.555847
0.277080 40.641936
0.286613 40.725358
0.296147 40.806171
0.305680 40.884631
0.315214 40.960889
0.324747 41.035071
0.334281 41.107291
0.343814 41.177561
0.353348 41.246070
0.362881 41.312915
0.372414 41.378177
0.381948 41.441933
0.391481 41.504170
0.401015 41.565037
0.410548 41.624600
0.420082 41.682914
0.429615 41.740032
0.439149 41.795930
0.448682 41.850731
0.458215 41.904479
0.467749 41.957215
0.477282 42.008978
0.486816 42.059736
0.496349 42.109594
0.505883 42.158584
0.515416 42.206737
0.524950 42.254079
0.534483 42.300580
0.544017 42.346328
0.553550 42.391347
0.563083 42.435660
0.572617 42.479287
0.582150 42.522200
0.591684 42.564472
0.601217 42.606122
0.610751 42.647169
0.620284 42.687627
0.629818 42.727469
0.639351 42.766760
0.648884 42.805515
0.658418 42.843747
0.667951 42.881466
0.677485 42.918651
0.687018 42.955355
0.696552 42.991591
0.706085 43.027371
0.715619 43.062700
0.725152 43.097559
0.734685 43.131996
0.744219 43.166020
0.753752 43.199642
0.763286 43.232864
0.772819 43.265671
0.782353 43.298103
0.791886 43.330169
0.801420 43.361877
0.810953 43.393229
0.820487 43.424210
0.830020 43.454856
0.839553 43.485175
0.849087 43.515173
0.858620 43.544852
0.868154 43.574197
0.877687 43.603242
0.887221 43.631993
0.896754 43.660454
0.906288 43.688626
0.915821 43.716498
0.925354 43.744098
0.934888 43.771432
0.944421 43.798505
0.953955 43.825314
0.963488 43.851851
0.973022 43.878141
0.982555 43.904190
0.992089 43.930000
1.001622 43.955569
1.011155 43.980891
1.020689 44.005988
1.030222 44.030864
1.039756 44.055522
1.049289 44.079960
1.058823 44.104171
1.068356 44.128176
1.077890 44.151978
1.087423 44.175581
1.096956 44.198980
1.106490 44.222171
1.116023 44.245173
1.125557 44.267988
1.135090 44.290620
1.144624 44.313063
1.154157 44.335315
1.163691 44.357393
1.173224 44.379298
1.182758 44.401033
1.192291 44.422594
1.201824 44.443978
1.211358 44.465200
1.220891 44.486263
1.230425 44.507168
1.239958 44.527912
1.249492 44.548491
1.259025 44.568921
1.268559 44.589202
1.278092 44.609337
1.287625 44.629320
1.297159 44.649152
1.306692 44.668844
1.316226 44.688398
1.325759 44.707815
1.335293 44.727091
1.344826 44.746226
1.354360 44.765230
1.363893 44.784106
1.373426 44.802854
1.382960 44.821469
1.392493 44.839953
1.402027 44.858314
1.411560 44.876555
1.421094 44.894677
1.430627 44.912674
1.440161 44.930548
1.449694 44.948308
1.459228 44.965955
1.468761 44.983489
1.478294 45.000907
1.487828 45.018209
1.497361 45.035404
1.506895 45.052492
1.516428 45.069475
1.525962 45.086348
1.535495 45.103113
1.545029 45.119776
1.554562 45.136340
1.564095 45.152804
1.573629 45.169164
1.583162 45.185422
1.592696 45.201585
1.602229 45.217654
1.611763 45.233629
1.621296 45.249505
1.630830 45.265286
1.640363 45.280977
1.649896 45.296578
1.659430 45.312091
1.668963 45.327511
1.678497 45.342840
1.688030 45.358085
1.697564 45.373245
1.707097 45.388321
1.716631 45.403308
1.726164 45.418211
1.735697 45.433033
1.745231 45.447774
1.754764 45.462437
1.764298 45.477015
1.773831 45.491513
1.783365 45.505934
1.792898 45.520279
1.802432 45.534550
1.811965 45.548739
1.821499 45.562853
1.831032 45.576894
1.840565 45.590863
1.850099 45.604760
1.859632 45.618581
1.869166 45.632330
1.878699 45.646009
1.888233 45.659620
1.897766 45.673163
1.907300 45.686633
1.916833 45.700035
1.926366 45.713370
1.935900 45.726641
1.945433 45.739846
1.954967 45.752982
1.964500 45.766053
1.974034 45.779061
1.983567 45.792006
1.993101 45.804891
2.002634 45.817708
2.012167 45.830463
2.021701 45.843159
2.031234 45.855795
2.040768 45.868372
2.050301 45.880885
2.059835 45.893340
2.069368 45.905737
2.078902 45.918077
2.088435 45.930361
2.097969 45.942584
2.107502 45.954751
2.117035 45.966863
2.126569 45.978920
2.136102 45.990925
2.145636 46.002870
2.155169 46.014761
2.164703 46.026600
2.174236 46.038387
2.183770 46.050123
2.193303 46.061802
2.202836 46.073431
2.212370 46.085008
2.221903 46.096537
2.231437 46.108016
2.240970 46.119440
2.250504 46.130816
2.260037 46.142143
2.269571 46.153423
2.279104 46.164656
2.288637 46.175836
2.298171 46.186970
2.307704 46.198058
2.317238 46.209099
2.326771 46.220096
2.336305 46.231042
2.345838 46.241943
2.355372 46.252800
2.364905 46.263613
2.374439 46.274382
