SN_Name,z,mu,mu_err
SCP06A4,1.192,44.4644,0.22917667595110985
SCP06C0,1.092,43.96409693823707,0.2301541279230073
SCP06C1,0.98,43.839470000000006,0.14112346721931118
SCP06F12,1.11,44.63202,0.3903929247565842
SCP06G4,1.35,44.814454894376915,0.1599930848505647
SCP06H3,0.85,43.49875,0.1750369680953141
SCP06H5,1.231,44.58273,0.49373979189447553
SCP06K0,1.415,44.801050000000004,0.24854118733119465
SCP06N33,1.188,44.47471698827362,0.47976508928849754
SCP05D0,1.014,44.27992,0.23456518283837438
SCP05D6,1.315,44.945075644782726,0.17265244423407392
SCP05P9,0.821,43.64631,0.20193764507887083
SCP06R12,1.212,45.2334,0.5343387816732003
SCP06Z5,0.623,42.52054,0.34688175276309935
