SN_Name,z,mB,x1,c,mu,mu_err,P_mass,Lens_Correction
SCP06A4,1.192,25.497,-1.45,0.065,44.4644,0.22917667595110985,0.55,0.0
SCP06C0,1.092,25.636,-2.66,0.257,43.96409693823707,0.2301541279230073,0.13,-0.032093061762930544
SCP06C1,0.98,24.613,-0.35,0.014,43.839470000000006,0.14112346721931118,0.55,0.0
SCP06F12,1.11,25.253,-2.09,-0.133,44.63202,0.3903929247565842,0.55,0.0
SCP06G4,1.35,25.424,0.15,-0.029,44.814454894376915,0.1599930848505647,0.13,-0.016165105623079202
SCP06H3,0.85,24.345,0.58,0.089,43.49875,0.1750369680953141,0.55,0.0
SCP06H5,1.231,25.389,-3.12,-0.103,44.58273,0.49373979189447553,0.13,0.0
SCP06K0,1.415,25.811,0.3,0.147,44.801050000000004,0.24854118733119465,0.13,0.0
SCP06N33,1.188,25.407,-2.15,-0.038,44.47471698827362,0.47976508928849754,0.55,-0.06939301172638371
SCP05D0,1.014,25.201,-0.61,0.061,44.27992,0.23456518283837438,0.55,0.0
SCP05D6,1.315,25.66,-1.26,-0.058,44.945075644782726,0.17265244423407392,0.13,-0.022564355217275515
SCP05P9,0.821,24.367,0.25,0.022,43.64631,0.20193764507887083,0.55,0.0
SCP06R12,1.212,25.789,-2.06,-0.158,45.2334,0.5343387816732003,0.55,0.0
SCP06Z5,0.623,23.482,-0.76,0.07,42.52054,0.34688175276309935,0.55,0.0
