CID,SN_Name,zHD,zHDERR,zCMB,zCMBERR,MU_SH0ES,MU_SH0ES_ERR_DIAG,m_b_corr,m_b_corr_err_DIAG,x1,x1ERR,c,cERR
000001,SCP06A4,1.192,0.0001,1.192,0.0001,44.4644,0.22917667595110985,25.497,0.048,-1.45,0.68,0.065,0.084
000002,SCP06C0,1.092,0.0001,1.092,0.0001,43.96409693823707,0.2301541279230073,25.636,0.066,-2.66,0.65,0.257,0.083
000003,SCP06C1,0.98,0.0001,0.98,0.0001,43.839470000000006,0.14112346721931118,24.613,0.028,-0.35,0.33,0.014,0.053
000004,SCP06F12,1.11,0.0001,1.11,0.0001,44.63202,0.3903929247565842,25.253,0.068,-2.09,1.29,-0.133,0.142
000005,SCP06G4,1.35,0.0001,1.35,0.0001,44.814454894376915,0.1599930848505647,25.424,0.052,0.15,0.64,-0.029,0.052
000006,SCP06H3,0.85,0.0001,0.85,0.0001,43.49875,0.1750369680953141,24.345,0.038,0.58,0.31,0.089,0.067
000007,SCP06H5,1.231,0.0001,1.231,0.0001,44.58273,0.49373979189447553,25.389,0.111,-3.12,1.1,-0.103,0.187
000008,SCP06K0,1.415,0.0001,1.415,0.0001,44.801050000000004,0.24854118733119465,25.811,0.087,0.3,0.97,0.147,0.081
000009,SCP06N33,1.188,0.0001,1.188,0.0001,44.47471698827362,0.47976508928849754,25.407,0.132,-2.15,1.32,-0.038,0.175
000010,SCP05D0,1.014,0.0001,1.014,0.0001,44.27992,0.23456518283837438,25.201,0.066,-0.61,0.65,0.061,0.085
000011,SCP05D6,1.315,0.0001,1.315,0.0001,44.945075644782726,0.17265244423407392,25.66,0.046,-1.26,0.56,-0.058,0.061
000012,SCP05P9,0.821,0.0001,0.821,0.0001,43.64631,0.20193764507887083,24.367,0.049,0.25,0.5,0.022,0.075
000013,SCP06R12,1.212,0.0001,1.212,0.0001,45.2334,0.5343387816732003,25.789,0.114,-2.06,1.5,-0.158,0.198
000014,SCP06Z5,0.623,0.0001,0.623,0.0001,42.52054,0.34688175276309935,23.482,0.144,-0.76,0.88,0.07,0.12
