# z, H_model(z)
0.000000 69.299703
0.010862 69.601222
0.021724 69.908753
0.032585 70.222327
0.043447 70.541976
0.054309 70.867726
0.065171 71.199607
0.076033 71.537643
0.086894 71.881857
0.097756 72.232273
0.108618 72.588910
0.119480 72.951788
0.130342 73.320925
0.141204 73.696335
0.152065 74.078033
0.162927 74.466031
0.173789 74.860341
0.184651 75.260970
0.195513 75.667927
0.206374 76.081217
0.217236 76.500845
0.228098 76.926813
0.238960 77.359121
0.249822 77.797770
0.260683 78.242756
0.271545 78.694077
0.282407 79.151726
0.293269 79.615696
0.304131 80.085980
0.314992 80.562566
0.325854 81.045445
0.336716 81.534603
0.347578 82.030025
0.358440 82.531697
0.369302 83.039601
0.380163 83.553720
0.391025 84.074033
0.401887 84.600520
0.412749 85.133160
0.423611 85.671930
0.434472 86.216804
0.445334 86.767759
0.456196 87.324768
0.467058 87.887804
0.477920 88.456838
0.488781 89.031843
0.499643 89.612788
0.510505 90.199642
0.521367 90.792374
0.532229 91.390951
0.543090 91.995342
0.553952 92.605512
0.564814 93.221427
0.575676 93.843052
0.586538 94.470353
0.597399 95.103294
0.608261 95.741838
0.619123 96.385950
0.629985 97.035591
0.640847 97.690724
0.651709 98.351313
0.662570 99.017319
0.673432 99.688704
0.684294 100.365429
0.695156 101.047457
0.706018 101.734748
0.716879 102.427264
0.727741 103.124966
0.738603 103.827816
0.749465 104.535773
0.760327 105.248800
0.771188 105.966857
0.782050 106.689906
0.792912 107.417908
0.803774 108.150824
0.814636 108.888615
0.825497 109.631244
0.836359 110.378672
0.847221 111.130860
0.858083 111.887771
0.868945 112.649368
0.879807 113.415612
0.890668 114.186467
0.901530 114.961895
0.912392 115.741860
0.923254 116.526325
0.934116 117.315254
0.944977 118.108611
0.955839 118.906361
0.966701 119.708468
0.977563 120.514898
0.988425 121.325615
0.999286 122.140585
1.010148 122.959775
1.021010 123.783151
1.031872 124.610679
1.042734 125.442327
1.053595 126.278062
1.064457 127.117852
1.075319 127.961665
1.086181 128.809469
1.097043 129.661234
1.107905 130.516928
1.118766 131.376522
1.129628 132.239985
1.140490 133.107288
1.151352 133.978402
1.162214 134.853297
1.173075 135.731945
1.183937 136.614319
1.194799 137.500389
1.205661 138.390129
1.216523 139.283512
1.227384 140.180511
1.238246 141.081100
1.249108 141.985253
1.259970 142.892944
1.270832 143.804148
1.281693 144.718840
1.292555 145.636995
1.303417 146.558590
1.314279 147.483600
1.325141 148.412002
1.336003 149.343773
1.346864 150.278890
1.357726 151.217330
1.368588 152.159071
1.379450 153.104091
1.390312 154.052369
1.401173 155.003883
1.412035 155.958613
1.422897 156.916538
1.433759 157.877636
1.444621 158.841890
1.455482 159.809277
1.466344 160.779780
1.477206 161.753379
1.488068 162.730055
1.498930 163.709789
1.509791 164.692563
1.520653 165.678359
1.531515 166.667159
1.542377 167.658945
1.553239 168.653701
1.564101 169.651408
1.574962 170.652052
1.585824 171.655613
1.596686 172.662077
1.607548 173.671428
1.618410 174.683649
1.629271 175.698725
1.640133 176.716640
1.650995 177.737379
1.661857 178.760928
1.672719 179.787272
1.683580 180.816395
1.694442 181.848284
1.705304 182.882925
1.716166 183.920303
1.727028 184.960405
1.737889 186.003218
1.748751 187.048728
1.759613 188.096922
1.770475 189.147787
1.781337 190.201310
1.792198 191.257478
1.803060 192.316280
1.813922 193.377703
1.824784 194.441735
1.835646 195.508363
1.846508 196.577577
1.857369 197.649365
1.868231 198.723714
1.879093 199.800615
1.889955 200.880055
1.900817 201.962024
1.911678 203.046512
1.922540 204.133506
1.933402 205.222998
1.944264 206.314975
1.955126 207.409429
1.965987 208.506349
1.976849 209.605725
1.987711 210.707548
1.998573 211.811806
2.009435 212.918492
2.020296 214.027595
2.031158 215.139106
2.042020 216.253016
2.052882 217.369315
2.063744 218.487995
2.074606 219.609047
2.085467 220.732462
2.096329 221.858231
2.107191 222.986346
2.118053 224.116799
2.128915 225.249580
2.139776 226.384682
2.150638 227.522097
2.161500 228.661816
