# z, H_model(z)
0.000000 69.574493
0.012879 70.037978
0.025759 70.505149
0.038638 70.976144
0.051518 71.451097
0.064397 71.930136
0.077276 72.413385
0.090156 72.900961
0.103035 73.392979
0.115915 73.889547
0.128794 74.390772
0.141673 74.896756
0.154553 75.407594
0.167432 75.923383
0.180312 76.444213
0.193191 76.970169
0.206070 77.501336
0.218950 78.037794
0.231829 78.579619
0.244709 79.126883
0.257588 79.679655
0.270467 80.238001
0.283347 80.801984
0.296226 81.371661
0.309106 81.947086
0.321985 82.528311
0.334864 83.115384
0.347744 83.708346
0.360623 84.307240
0.373503 84.912099
0.386382 85.522957
0.399261 86.139842
0.412141 86.762779
0.425020 87.391789
0.437899 88.026890
0.450779 88.668097
0.463658 89.315419
0.476538 89.968864
0.489417 90.628437
0.502296 91.294136
0.515176 91.965962
0.528055 92.643907
0.540935 93.327964
0.553814 94.018122
0.566693 94.714367
0.579573 95.416683
0.592452 96.125052
0.605332 96.839454
0.618211 97.559866
0.631090 98.286263
0.643970 99.018619
0.656849 99.756907
0.669729 100.501098
0.682608 101.251160
0.695487 102.007063
0.708367 102.768773
0.721246 103.536256
0.734126 104.309479
0.747005 105.088406
0.759884 105.873001
0.772764 106.663229
0.785643 107.459051
0.798523 108.260432
0.811402 109.067334
0.824281 109.879719
0.837161 110.697551
0.850040 111.520791
0.862920 112.349403
0.875799 113.183348
0.888678 114.022590
0.901558 114.867090
0.914437 115.716813
0.927317 116.571722
0.940196 117.431779
0.953075 118.296950
0.965955 119.167197
0.978834 120.042485
0.991714 120.922779
1.004593 121.808044
1.017472 122.698246
1.030352 123.593349
1.043231 124.493321
1.056111 125.398128
1.068990 126.307736
1.081869 127.222114
1.094749 128.141228
1.107628 129.065046
1.120508 129.993538
1.133387 130.926671
1.146266 131.864416
1.159146 132.806741
1.172025 133.753616
1.184905 134.705013
1.197784 135.660901
1.210663 136.621252
1.223543 137.586037
1.236422 138.555228
1.249302 139.528796
1.262181 140.506716
1.275060 141.488959
1.287940 142.475499
1.300819 143.466309
1.313698 144.461363
1.326578 145.460636
1.339457 146.464103
1.352337 147.471737
1.365216 148.483514
1.378095 149.499411
1.390975 150.519402
1.403854 151.543465
1.416734 152.571575
1.429613 153.603710
1.442492 154.639846
1.455372 155.679961
1.468251 156.724033
1.481131 157.772040
1.494010 158.823961
1.506889 159.879773
1.519769 160.939455
1.532648 162.002987
1.545528 163.070349
1.558407 164.141519
1.571286 165.216479
1.584166 166.295207
1.597045 167.377685
1.609925 168.463893
1.622804 169.553812
1.635683 170.647424
1.648563 171.744710
1.661442 172.845651
1.674322 173.950229
1.687201 175.058428
1.700080 176.170228
1.712960 177.285612
1.725839 178.404564
1.738719 179.527067
1.751598 180.653103
1.764477 181.782656
1.777357 182.915709
1.790236 184.052248
1.803116 185.192255
1.815995 186.335714
1.828874 187.482612
1.841754 188.632931
1.854633 189.786656
1.867513 190.943774
1.880392 192.104268
1.893271 193.268125
1.906151 194.435330
1.919030 195.605868
1.931910 196.779725
1.944789 197.956888
1.957668 199.137343
1.970548 200.321076
1.983427 201.508073
1.996307 202.698322
2.009186 203.891808
2.022065 205.088520
2.034945 206.288444
2.047824 207.491568
2.060704 208.697878
2.073583 209.907364
2.086462 211.120011
2.099342 212.335809
2.112221 213.554745
2.125101 214.776807
2.137980 216.001984
2.150859 217.230264
2.163739 218.461635
2.176618 219.696087
2.189497 220.933607
2.202377 222.174185
2.215256 223.417810
2.228136 224.664471
2.241015 225.914158
2.253894 227.166859
2.266774 228.422564
2.279653 229.681263
2.292533 230.942945
2.305412 232.207600
2.318291 233.475219
2.331171 234.745791
2.344050 236.019306
2.356930 237.295754
2.369809 238.575127
2.382688 239.857414
2.395568 241.142605
2.408447 242.430692
2.421327 243.721666
2.434206 245.015516
2.447085 246.312234
2.459965 247.611811
2.472844 248.914238
2.485724 250.219507
2.498603 251.527608
2.511482 252.838532
2.524362 254.152272
2.537241 255.468818
2.550121 256.788163
2.563000 258.110298
