# z, mu_obs, sigma_mu, mu_model, residual
0.001220 28.998700 1.516450 28.512476 0.486224
0.001220 29.055900 1.517470 28.512476 0.543424
0.002560 30.723300 0.782372 30.124790 0.598510
0.002560 30.744900 0.799068 30.124790 0.620110
0.002990 30.775700 0.881212 30.462878 0.312822
0.003170 30.794600 0.614535 30.590209 0.204391
0.003310 30.460400 0.594683 30.684356 -0.223956
0.003310 30.552800 0.580251 30.684356 -0.131556
0.003310 30.401300 0.578445 30.684356 -0.283056
0.003310 30.510700 0.578546 30.684356 -0.173656
0.003330 31.501100 0.591006 30.697480 0.803620
0.003490 31.793300 0.552720 30.799733 0.993567
0.003490 31.496700 0.545492 30.799733 0.696967
0.003590 31.696900 0.550993 30.861295 0.835605
0.003840 30.999900 0.566505 31.008020 -0.008120
0.004070 31.393300 0.476404 31.134833 0.258467
0.004070 31.377900 0.479276 31.134833 0.243067
0.004320 31.499000 0.514259 31.264821 0.234179
0.004320 31.561100 0.530838 31.264821 0.296279
0.004650 31.930900 0.442017 31.425220 0.505680
0.004650 32.033000 0.420403 31.425220 0.607780
0.004820 31.247600 0.558603 31.503339 -0.255739
0.004830 31.133100 0.446882 31.507849 -0.374749
0.004830 31.652500 0.564724 31.507849 0.144651
0.004830 31.223400 0.410577 31.507849 -0.284449
0.004830 31.340000 0.562589 31.507849 -0.167849
0.004830 31.763500 0.574442 31.507849 0.255651
0.004880 31.447300 0.448264 31.530260 -0.082960
0.004880 31.539000 0.407028 31.530260 0.008740
0.005380 31.651200 0.514401 31.742605 -0.091405
0.005480 31.728200 0.501431 31.782714 -0.054514
0.005700 31.911700 0.469628 31.868458 0.043242
0.005700 31.898500 0.483668 31.868458 0.030042
0.005710 31.679900 0.375913 31.872277 -0.192377
0.005710 31.629200 0.385756 31.872277 -0.243077
0.005870 31.740300 0.491367 31.932496 -0.192196
0.005880 32.182200 0.339643 31.936205 0.245995
0.005920 32.468500 0.487055 31.950980 0.517520
0.006020 31.940400 0.344335 31.987489 -0.047089
0.006020 32.066600 0.343707 31.987489 0.079111
0.006020 31.910200 0.350249 31.987489 -0.077289
0.006160 30.907900 0.524992 32.037604 -1.129704
0.006160 31.185700 0.452235 32.037604 -0.851904
0.006250 32.066700 0.325930 32.069227 -0.002527
0.006250 32.002300 0.361560 32.069227 -0.066927
0.006250 32.099900 0.322811 32.069227 0.030673
0.006250 32.033700 0.339166 32.069227 -0.035527
0.006300 32.075400 0.533991 32.086601 -0.011201
0.006300 32.084300 0.537335 32.086601 -0.002301
0.006300 32.020300 0.538159 32.086601 -0.066301
0.006310 32.833300 0.562902 32.090060 0.743240
0.006340 32.400100 0.482567 32.100403 0.299697
0.006480 32.460800 0.318474 32.148035 0.312765
0.006480 32.433800 0.322290 32.148035 0.285765
0.006650 31.732100 0.531169 32.204522 -0.472422
0.006680 31.221700 0.420706 32.214341 -0.992641
0.006730 32.359300 0.359446 32.230610 0.128690
0.006760 31.973300 0.415464 32.240314 -0.267014
0.006770 32.195100 0.340530 32.243539 -0.048439
0.006770 32.172900 0.371125 32.243539 -0.070639
0.006770 32.204800 0.347950 32.243539 -0.038739
0.006920 32.440500 0.439634 32.291358 0.149142
0.007100 32.319300 0.325586 32.347402 -0.028102
0.007100 32.332700 0.348317 32.347402 -0.014702
0.007100 32.322100 0.322655 32.347402 -0.025302
0.007190 32.442300 0.300309 32.374898 0.067402
0.007190 32.464200 0.300269 32.374898 0.089302
0.007470 32.794300 0.289134 32.458310 0.335990
0.007470 32.742300 0.294759 32.458310 0.283990
0.007470 32.768500 0.292411 32.458310 0.310190
0.007500 32.331200 0.373843 32.467062 -0.135862
0.007500 32.299800 0.396652 32.467062 -0.167262
0.007950 32.641800 0.362719 32.594344 0.047456
0.008140 32.716400 0.317031 32.645955 0.070445
0.008140 32.615100 0.317457 32.645955 -0.030855
0.008140 32.709200 0.367554 32.645955 0.063245
0.008150 32.371100 0.371926 32.648639 -0.277539
0.008150 32.743400 0.280148 32.648639 0.094761
0.008150 32.670700 0.286975 32.648639 0.022061
0.008170 32.445500 0.490787 32.653995 -0.208495
0.008180 32.484000 0.342662 32.656669 -0.172669
