# z, H_obs, sigma_H, H_model, residual
0.070000 69.000000 19.600000 70.557833 -1.557833
0.090000 69.000000 12.000000 71.290092 -2.290092
0.120000 68.600000 26.200000 72.425020 -3.825020
0.170000 83.000000 8.000000 74.412989 8.587011
0.179000 75.000000 4.000000 74.783491 0.216509
0.199000 75.000000 5.000000 75.620524 -0.620524
0.200000 72.900000 29.600000 75.662869 -2.762869
0.270000 77.000000 14.000000 78.742397 -1.742397
0.280000 88.800000 36.600000 79.200666 9.599334
0.352000 83.000000 14.000000 82.632166 0.367834
0.380200 83.000000 13.500000 84.038115 -1.038115
0.400000 95.000000 17.000000 85.045651 9.954349
0.400400 77.000000 10.200000 85.066177 -8.066177
0.424700 87.100000 11.200000 86.325776 0.774224
0.449700 92.800000 12.900000 87.647380 5.152620
0.470000 89.000000 50.000000 88.739452 0.260548
0.478300 80.900000 9.000000 89.190799 -8.290799
0.480000 97.000000 62.000000 89.283588 7.716412
0.593000 104.000000 13.000000 95.707314 8.292686
0.680000 92.000000 8.000000 100.982878 -8.982878
0.781000 105.000000 12.000000 107.445793 -2.445793
0.875000 125.000000 17.000000 113.769318 11.230682
0.880000 90.000000 40.000000 114.113681 -24.113681
0.900000 117.000000 23.000000 115.499031 1.500969
1.037000 154.000000 20.000000 125.318254 28.681746
1.300000 168.000000 17.000000 145.663574 22.336426
1.363000 160.000000 33.600000 150.807021 9.192979
1.430000 177.000000 18.000000 156.384611 20.615389
1.530000 140.000000 14.000000 164.908903 -24.908903
1.750000 202.000000 40.000000 184.461044 17.538956
1.965000 186.500000 50.400000 204.562960 -18.062960
