# z, H_model(z)
0.000000 68.149915
0.010862 68.507662
0.021724 68.871260
0.032585 69.240701
0.043447 69.615972
0.054309 69.997063
0.065171 70.383959
0.076033 70.776646
0.086894 71.175108
0.097756 71.579328
0.108618 71.989289
0.119480 72.404972
0.130342 72.826358
0.141204 73.253425
0.152065 73.686153
0.162927 74.124519
0.173789 74.568500
0.184651 75.018073
0.195513 75.473214
0.206374 75.933896
0.217236 76.400096
0.228098 76.871787
0.238960 77.348941
0.249822 77.831532
0.260683 78.319533
0.271545 78.812914
0.282407 79.311648
0.293269 79.815706
0.304131 80.325059
0.314992 80.839676
0.325854 81.359529
0.336716 81.884587
0.347578 82.414820
0.358440 82.950197
0.369302 83.490689
0.380163 84.036264
0.391025 84.586890
0.401887 85.142538
0.412749 85.703177
0.423611 86.268774
0.434472 86.839299
0.445334 87.414720
0.456196 87.995007
0.467058 88.580128
0.477920 89.170052
0.488781 89.764748
0.499643 90.364185
0.510505 90.968331
0.521367 91.577157
0.532229 92.190630
0.543090 92.808721
0.553952 93.431398
0.564814 94.058632
0.575676 94.690392
0.586538 95.326648
0.597399 95.967370
0.608261 96.612528
0.619123 97.262092
0.629985 97.916034
0.640847 98.574323
0.651709 99.236932
0.662570 99.903830
0.673432 100.574990
0.684294 101.250383
0.695156 101.929981
0.706018 102.613756
0.716879 103.301680
0.727741 103.993726
0.738603 104.689866
0.749465 105.390074
0.760327 106.094322
0.771188 106.802585
0.782050 107.514836
0.792912 108.231048
0.803774 108.951197
0.814636 109.675257
0.825497 110.403202
0.836359 111.135007
0.847221 111.870648
0.858083 112.610100
0.868945 113.353339
0.879807 114.100341
0.890668 114.851082
0.901530 115.605539
0.912392 116.363688
0.923254 117.125507
0.934116 117.890972
0.944977 118.660062
0.955839 119.432753
0.966701 120.209025
0.977563 120.988854
0.988425 121.772221
0.999286 122.559103
1.010148 123.349479
1.021010 124.143329
1.031872 124.940632
1.042734 125.741368
1.053595 126.545516
1.064457 127.353058
1.075319 128.163972
1.086181 128.978241
1.097043 129.795844
1.107905 130.616763
1.118766 131.440979
1.129628 132.268474
1.140490 133.099229
1.151352 133.933226
1.162214 134.770447
1.173075 135.610875
1.183937 136.454492
1.194799 137.301282
1.205661 138.151226
1.216523 139.004309
1.227384 139.860513
1.238246 140.719822
1.249108 141.582220
1.259970 142.447691
1.270832 143.316219
1.281693 144.187788
1.292555 145.062383
1.303417 145.939989
1.314279 146.820590
1.325141 147.704171
1.336003 148.590718
1.346864 149.480216
1.357726 150.372651
1.368588 151.268008
1.379450 152.166273
1.390312 153.067433
1.401173 153.971474
1.412035 154.878381
1.422897 155.788142
1.433759 156.700743
1.444621 157.616171
1.455482 158.534414
1.466344 159.455458
1.477206 160.379290
1.488068 161.305899
1.498930 162.235271
1.509791 163.167395
1.520653 164.102257
1.531515 165.039848
1.542377 165.980154
1.553239 166.923163
1.564101 167.868865
1.574962 168.817247
1.585824 169.768299
1.596686 170.722010
1.607548 171.678367
1.618410 172.637361
1.629271 173.598980
1.640133 174.563213
1.650995 175.530051
1.661857 176.499483
1.672719 177.471498
1.683580 178.446086
1.694442 179.423236
1.705304 180.402940
1.716166 181.385187
1.727028 182.369967
1.737889 183.357270
1.748751 184.347088
1.759613 185.339410
1.770475 186.334226
1.781337 187.331529
1.792198 188.331308
1.803060 189.333555
1.813922 190.338260
1.824784 191.345414
1.835646 192.355009
1.846508 193.367037
1.857369 194.381487
1.868231 195.398353
1.879093 196.417624
1.889955 197.439294
1.900817 198.463354
1.911678 199.489795
1.922540 200.518609
1.933402 201.549789
1.944264 202.583326
1.955126 203.619212
1.965987 204.657441
1.976849 205.698003
1.987711 206.740892
1.998573 207.786099
2.009435 208.833618
2.020296 209.883441
2.031158 210.935560
2.042020 211.989969
2.052882 213.046659
2.063744 214.105625
2.074606 215.166858
2.085467 216.230352
2.096329 217.296100
2.107191 218.364095
2.118053 219.434330
2.128915 220.506798
2.139776 221.581494
2.150638 222.658409
2.161500 223.737539
