# z, H_model(z)
0.000000 73.520957
0.012879 73.848549
0.025759 74.183597
0.038638 74.526138
0.051518 74.876207
0.064397 75.233837
0.077276 75.599058
0.090156 75.971897
0.103035 76.352379
0.115915 76.740529
0.128794 77.136367
0.141673 77.539910
0.154553 77.951177
0.167432 78.370179
0.180312 78.796929
0.193191 79.231437
0.206070 79.673708
0.218950 80.123749
0.231829 80.581562
0.244709 81.047147
0.257588 81.520504
0.270467 82.001628
0.283347 82.490514
0.296226 82.987154
0.309106 83.491539
0.321985 84.003656
0.334864 84.523494
0.347744 85.051036
0.360623 85.586266
0.373503 86.129166
0.386382 86.679713
0.399261 87.237888
0.412141 87.803666
0.425020 88.377022
0.437899 88.957929
0.450779 89.546361
0.463658 90.142286
0.476538 90.745676
0.489417 91.356498
0.502296 91.974719
0.515176 92.600304
0.528055 93.233220
0.540935 93.873429
0.553814 94.520894
0.566693 95.175578
0.579573 95.837440
0.592452 96.506442
0.605332 97.182543
0.618211 97.865702
0.631090 98.555876
0.643970 99.253024
0.656849 99.957102
0.669729 100.668066
0.682608 101.385873
0.695487 102.110478
0.708367 102.841836
0.721246 103.579903
0.734126 104.324632
0.747005 105.075978
0.759884 105.833895
0.772764 106.598337
0.785643 107.369258
0.798523 108.146612
0.811402 108.930351
0.824281 109.720430
0.837161 110.516802
0.850040 111.319421
0.862920 112.128241
0.875799 112.943214
0.888678 113.764296
0.901558 114.591440
0.914437 115.424600
0.927317 116.263730
0.940196 117.108785
0.953075 117.959720
0.965955 118.816489
0.978834 119.679048
0.991714 120.547352
1.004593 121.421358
1.017472 122.301020
1.030352 123.186296
1.043231 124.077142
1.056111 124.973515
1.068990 125.875373
1.081869 126.782674
1.094749 127.695374
1.107628 128.613434
1.120508 129.536812
1.133387 130.465467
1.146266 131.399360
1.159146 132.338449
1.172025 133.282695
1.184905 134.232060
1.197784 135.186505
1.210663 136.145991
1.223543 137.110481
1.236422 138.079938
1.249302 139.054324
1.262181 140.033602
1.275060 141.017737
1.287940 142.006693
1.300819 143.000435
1.313698 143.998928
1.326578 145.002137
1.339457 146.010029
1.352337 147.022570
1.365216 148.039727
1.378095 149.061467
1.390975 150.087758
1.403854 151.118568
1.416734 152.153866
1.429613 153.193620
1.442492 154.237800
1.455372 155.286375
1.468251 156.339317
1.481131 157.396595
1.494010 158.458181
1.506889 159.524045
1.519769 160.594160
1.532648 161.668498
1.545528 162.747031
1.558407 163.829732
1.571286 164.916574
1.584166 166.007532
1.597045 167.102578
1.609925 168.201688
1.622804 169.304836
1.635683 170.411997
1.648563 171.523147
1.661442 172.638261
1.674322 173.757315
1.687201 174.880286
1.700080 176.007151
1.712960 177.137886
1.725839 178.272469
1.738719 179.410878
1.751598 180.553091
1.764477 181.699085
1.777357 182.848840
1.790236 184.002335
1.803116 185.159548
1.815995 186.320459
1.828874 187.485049
1.841754 188.653296
1.854633 189.825182
1.867513 191.000686
1.880392 192.179791
1.893271 193.362476
1.906151 194.548724
1.919030 195.738515
1.931910 196.931833
1.944789 198.128658
1.957668 199.328973
1.970548 200.532762
1.983427 201.740006
1.996307 202.950689
2.009186 204.164794
2.022065 205.382305
2.034945 206.603206
2.047824 207.827480
2.060704 209.055111
2.073583 210.286084
2.086462 211.520384
2.099342 212.757996
2.112221 213.998903
2.125101 215.243092
2.137980 216.490548
2.150859 217.741257
2.163739 218.995204
2.176618 220.252374
2.189497 221.512756
2.202377 222.776334
2.215256 224.043094
2.228136 225.313025
2.241015 226.586112
2.253894 227.862343
2.266774 229.141704
2.279653 230.424184
2.292533 231.709769
2.305412 232.998447
2.318291 234.290205
2.331171 235.585033
2.344050 236.882917
2.356930 238.183846
2.369809 239.487809
2.382688 240.794793
2.395568 242.104788
2.408447 243.417783
2.421327 244.733765
2.434206 246.052725
2.447085 247.374651
2.459965 248.699533
2.472844 250.027359
2.485724 251.358121
2.498603 252.691807
2.511482 254.028406
2.524362 255.367910
2.537241 256.710308
2.550121 258.055590
2.563000 259.403746
