# z, mu_obs, sigma_mu, mu_model, residual
0.001220 28.998700 1.516450 28.511299 0.487401
0.001220 29.055900 1.517470 28.511299 0.544601
0.002560 30.723300 0.782372 30.123613 0.599687
0.002560 30.744900 0.799068 30.123613 0.621287
0.002990 30.775700 0.881212 30.461702 0.313998
0.003170 30.794600 0.614535 30.589032 0.205568
0.003310 30.460400 0.594683 30.683179 -0.222779
0.003310 30.552800 0.580251 30.683179 -0.130379
0.003310 30.401300 0.578445 30.683179 -0.281879
0.003310 30.510700 0.578546 30.683179 -0.172479
0.003330 31.501100 0.591006 30.696304 0.804796
0.003490 31.793300 0.552720 30.798556 0.994744
0.003490 31.496700 0.545492 30.798556 0.698144
0.003590 31.696900 0.550993 30.860118 0.836782
0.003840 30.999900 0.566505 31.006843 -0.006943
0.004070 31.393300 0.476404 31.133657 0.259643
0.004070 31.377900 0.479276 31.133657 0.244243
0.004320 31.499000 0.514259 31.263645 0.235355
0.004320 31.561100 0.530838 31.263645 0.297455
0.004650 31.930900 0.442017 31.424047 0.506853
0.004650 32.033000 0.420403 31.424047 0.608953
0.004820 31.247600 0.558603 31.502172 -0.254572
0.004830 31.133100 0.446882 31.506682 -0.373582
0.004830 31.652500 0.564724 31.506682 0.145818
0.004830 31.223400 0.410577 31.506682 -0.283282
0.004830 31.340000 0.562589 31.506682 -0.166682
0.004830 31.763500 0.574442 31.506682 0.256818
0.004880 31.447300 0.448264 31.529094 -0.081794
0.004880 31.539000 0.407028 31.529094 0.009906
0.005380 31.651200 0.514401 31.741453 -0.090253
0.005480 31.728200 0.501431 31.781566 -0.053366
0.005700 31.911700 0.469628 31.867315 0.044385
0.005700 31.898500 0.483668 31.867315 0.031185
0.005710 31.679900 0.375913 31.871134 -0.191234
0.005710 31.629200 0.385756 31.871134 -0.241934
0.005870 31.740300 0.491367 31.931355 -0.191055
0.005880 32.182200 0.339643 31.935065 0.247135
0.005920 32.468500 0.487055 31.949841 0.518659
0.006020 31.940400 0.344335 31.986352 -0.045952
0.006020 32.066600 0.343707 31.986352 0.080248
0.006020 31.910200 0.350249 31.986352 -0.076152
0.006160 30.907900 0.524992 32.036470 -1.128570
0.006160 31.185700 0.452235 32.036470 -0.850770
0.006250 32.066700 0.325930 32.068095 -0.001395
0.006250 32.002300 0.361560 32.068095 -0.065795
0.006250 32.099900 0.322811 32.068095 0.031805
0.006250 32.033700 0.339166 32.068095 -0.034395
0.006300 32.075400 0.533991 32.085470 -0.010070
0.006300 32.084300 0.537335 32.085470 -0.001170
0.006300 32.020300 0.538159 32.085470 -0.065170
0.006310 32.833300 0.562902 32.088928 0.744372
0.006340 32.400100 0.482567 32.099272 0.300828
0.006480 32.460800 0.318474 32.146907 0.313893
0.006480 32.433800 0.322290 32.146907 0.286893
0.006650 31.732100 0.531169 32.203396 -0.471296
0.006680 31.221700 0.420706 32.213216 -0.991516
0.006730 32.359300 0.359446 32.229486 0.129814
0.006760 31.973300 0.415464 32.239190 -0.265890
0.006770 32.195100 0.340530 32.242415 -0.047315
0.006770 32.172900 0.371125 32.242415 -0.069515
0.006770 32.204800 0.347950 32.242415 -0.037615
