# z, mu_model(z)
0.000610 27.004653
0.010143 33.125704
0.019677 34.578531
0.029210 35.450163
0.038744 36.077026
0.048277 36.568079
0.057811 36.972582
0.067344 37.317042
0.076878 37.617376
0.086411 37.883893
0.095944 38.123656
0.105478 38.341715
0.115011 38.541809
0.124545 38.726780
0.134078 38.898842
0.143612 39.059752
0.153145 39.210931
0.162679 39.353538
0.172212 39.488539
0.181746 39.616741
0.191279 39.738828
0.200812 39.855385
0.210346 39.966916
0.219879 40.073858
0.229413 40.176592
0.238946 40.275454
0.248480 40.370738
0.258013 40.462709
0.267547 40.551599
0.277080 40.637620
0.286613 40.720959
0.296147 40.801788
0.305680 40.880259
0.315214 40.956514
0.324747 41.030680
0.334281 41.102874
0.343814 41.173202
0.353348 41.241764
0.362881 41.308650
0.372414 41.373943
0.381948 41.437722
0.391481 41.500056
0.401015 41.561014
0.410548 41.620657
0.420082 41.679043
0.429615 41.736227
0.439149 41.792257
0.448682 41.847182
0.458215 41.901046
0.467749 41.953891
0.477282 42.005756
0.486816 42.056678
0.496349 42.106691
0.505883 42.155829
0.515416 42.204123
0.524950 42.251601
0.534483 42.298292
0.544017 42.344223
0.553550 42.389417
0.563083 42.433900
0.572617 42.477694
0.582150 42.520820
0.591684 42.563299
0.601217 42.605150
0.610751 42.646392
0.620284 42.687043
0.629818 42.727120
0.639351 42.766639
0.648884 42.805616
0.658418 42.844066
0.667951 42.882003
0.677485 42.919440
0.687018 42.956392
0.696552 42.992870
0.706085 43.028887
0.715619 43.064454
0.725152 43.099583
0.734685 43.134284
0.744219 43.168568
0.753752 43.202444
0.763286 43.235923
0.772819 43.269014
0.782353 43.301725
0.791886 43.334066
0.801420 43.366044
0.810953 43.397668
0.820487 43.428946
0.830020 43.459884
0.839553 43.490491
0.849087 43.520774
0.858620 43.550738
0.868154 43.580392
0.877687 43.609740
0.887221 43.638790
0.896754 43.667547
0.906288 43.696018
0.915821 43.724208
0.925354 43.752121
0.934888 43.779765
0.944421 43.807144
0.953955 43.834262
0.963488 43.861125
0.973022 43.887737
0.982555 43.914104
0.992089 43.940229
1.001622 43.966117
1.011155 43.991772
1.020689 44.017199
1.030222 44.042400
1.039756 44.067381
1.049289 44.092145
1.058823 44.116695
1.068356 44.141036
1.077890 44.165170
1.087423 44.189102
1.096956 44.212834
1.106490 44.236370
1.116023 44.259713
1.125557 44.282866
1.135090 44.305832
1.144624 44.328614
1.154157 44.351215
1.163691 44.373638
1.173224 44.395885
1.182758 44.417960
1.192291 44.439864
1.201824 44.461600
1.211358 44.483172
1.220891 44.504581
1.230425 44.525829
1.239958 44.546920
1.249492 44.567854
1.259025 44.588636
1.268559 44.609266
1.278092 44.629747
1.287625 44.650081
1.297159 44.670270
1.306692 44.690316
1.316226 44.710221
1.325759 44.729988
1.335293 44.749617
1.344826 44.769110
1.354360 44.788471
1.363893 44.807699
1.373426 44.826798
1.382960 44.845768
1.392493 44.864612
1.402027 44.883331
1.411560 44.901926
1.421094 44.920400
1.430627 44.938753
1.440161 44.956988
1.449694 44.975105
1.459228 44.993107
1.468761 45.010995
1.478294 45.028769
1.487828 45.046432
1.497361 45.063985
1.506895 45.081429
1.516428 45.098766
1.525962 45.115996
1.535495 45.133122
1.545029 45.150143
1.554562 45.167062
1.564095 45.183880
1.573629 45.200598
1.583162 45.217216
1.592696 45.233737
1.602229 45.250161
1.611763 45.266489
1.621296 45.282723
1.630830 45.298863
1.640363 45.314911
1.649896 45.330867
1.659430 45.346733
1.668963 45.362509
1.678497 45.378197
1.688030 45.393797
1.697564 45.409311
1.707097 45.424739
1.716631 45.440083
1.726164 45.455342
1.735697 45.470519
1.745231 45.485613
1.754764 45.500627
1.764298 45.515560
1.773831 45.530413
1.783365 45.545188
1.792898 45.559884
1.802432 45.574504
1.811965 45.589047
1.821499 45.603515
1.831032 45.617908
1.840565 45.632226
1.850099 45.646472
1.859632 45.660644
1.869166 45.674745
1.878699 45.688775
1.888233 45.702734
1.897766 45.716624
1.907300 45.730444
1.916833 45.744195
1.926366 45.757879
1.935900 45.771496
1.945433 45.785046
1.954967 45.798530
1.964500 45.811949
1.974034 45.825303
1.983567 45.838593
1.993101 45.851820
2.002634 45.864984
2.012167 45.878085
2.021701 45.891125
2.031234 45.904103
2.040768 45.917021
2.050301 45.929878
2.059835 45.942676
2.069368 45.955415
2.078902 45.968095
2.088435 45.980718
2.097969 45.993283
2.107502 46.005791
2.117035 46.018242
2.126569 46.030638
2.136102 46.042978
2.145636 46.055263
2.155169 46.067493
2.164703 46.079669
2.174236 46.091792
2.183770 46.103861
2.193303 46.115878
2.202836 46.127842
2.212370 46.139755
2.221903 46.151616
2.231437 46.163426
2.240970 46.175186
2.250504 46.186895
2.260037 46.198555
2.269571 46.210165
2.279104 46.221727
2.288637 46.233240
2.298171 46.244704
2.307704 46.256121
2.317238 46.267491
2.326771 46.278813
2.336305 46.290089
2.345838 46.301319
2.355372 46.312503
2.364905 46.323641
2.374439 46.334735
