# z, H_obs, sigma_H, H_model, residual
0.070000 69.000000 19.600000 71.349138 -2.349138
0.090000 69.000000 12.000000 71.981413 -2.981413
0.120000 68.600000 26.200000 72.969322 -4.369322
0.170000 83.000000 8.000000 74.722076 8.277924
0.179000 75.000000 4.000000 75.051758 -0.051758
0.199000 75.000000 5.000000 75.799934 -0.799934
0.200000 72.900000 29.600000 75.837906 -2.937906
0.270000 77.000000 14.000000 78.629484 -1.629484
0.280000 88.800000 36.600000 79.049762 9.750238
0.352000 83.000000 14.000000 82.233514 0.766486
0.380200 83.000000 13.500000 83.555465 -0.555465
0.400000 95.000000 17.000000 84.508614 10.491386
0.400400 77.000000 10.200000 84.528081 -7.528081
0.424700 87.100000 11.200000 85.726304 1.373696
0.449700 92.800000 12.900000 86.990917 5.809083
0.470000 89.000000 50.000000 88.041349 0.958651
0.478300 80.900000 9.000000 88.476874 -7.576874
0.480000 97.000000 62.000000 88.566508 8.433492
0.593000 104.000000 13.000000 94.846247 9.153753
0.680000 92.000000 8.000000 100.097263 -8.097263
0.781000 105.000000 12.000000 106.619774 -1.619774
0.875000 125.000000 17.000000 113.075963 11.924037
0.880000 90.000000 40.000000 113.429300 -23.429300
0.900000 117.000000 23.000000 114.852380 2.147620
1.037000 154.000000 20.000000 125.002810 28.997190
1.300000 168.000000 17.000000 146.268292 21.731708
1.363000 160.000000 33.600000 151.674176 8.325824
1.430000 177.000000 18.000000 157.544687 19.455313
1.530000 140.000000 14.000000 166.529059 -26.529059
1.750000 202.000000 40.000000 187.169105 14.830895
1.965000 186.500000 50.400000 208.406537 -21.906537
