# z, H_model(z)
0.000000 69.299706
0.010862 69.601225
0.021724 69.908755
0.032585 70.222329
0.043447 70.541978
0.054309 70.867729
0.065171 71.199609
0.076033 71.537644
0.086894 71.881859
0.097756 72.232274
0.108618 72.588912
0.119480 72.951790
0.130342 73.320926
0.141204 73.696336
0.152065 74.078034
0.162927 74.466032
0.173789 74.860341
0.184651 75.260971
0.195513 75.667928
0.206374 76.081218
0.217236 76.500845
0.228098 76.926813
0.238960 77.359121
0.249822 77.797770
0.260683 78.242756
0.271545 78.694076
0.282407 79.151725
0.293269 79.615696
0.304131 80.085979
0.314992 80.562566
0.325854 81.045444
0.336716 81.534602
0.347578 82.030024
0.358440 82.531696
0.369302 83.039600
0.380163 83.553718
0.391025 84.074032
0.401887 84.600519
0.412749 85.133159
0.423611 85.671928
0.434472 86.216803
0.445334 86.767758
0.456196 87.324766
0.467058 87.887802
0.477920 88.456837
0.488781 89.031841
0.499643 89.612786
0.510505 90.199640
0.521367 90.792371
0.532229 91.390949
0.543090 91.995339
0.553952 92.605509
0.564814 93.221424
0.575676 93.843050
0.586538 94.470351
0.597399 95.103292
0.608261 95.741836
0.619123 96.385947
0.629985 97.035588
0.640847 97.690722
0.651709 98.351311
0.662570 99.017316
0.673432 99.688701
0.684294 100.365427
0.695156 101.047455
0.706018 101.734746
0.716879 102.427262
0.727741 103.124964
0.738603 103.827814
0.749465 104.535771
0.760327 105.248798
0.771188 105.966855
0.782050 106.689904
0.792912 107.417906
0.803774 108.150822
0.814636 108.888613
0.825497 109.631242
0.836359 110.378670
0.847221 111.130858
0.858083 111.887769
0.868945 112.649366
0.879807 113.415610
0.890668 114.186465
0.901530 114.961893
0.912392 115.741858
0.923254 116.526323
0.934116 117.315252
0.944977 118.108610
0.955839 118.906360
0.966701 119.708467
0.977563 120.514897
0.988425 121.325614
0.999286 122.140584
1.010148 122.959774
1.021010 123.783150
1.031872 124.610678
1.042734 125.442326
1.053595 126.278061
1.064457 127.117851
1.075319 127.961664
1.086181 128.809469
1.097043 129.661233
1.107905 130.516928
1.118766 131.376522
1.129628 132.239985
1.140490 133.107288
1.151352 133.978402
1.162214 134.853297
1.173075 135.731946
1.183937 136.614319
1.194799 137.500390
1.205661 138.390130
1.216523 139.283513
1.227384 140.180512
1.238246 141.081101
1.249108 141.985254
1.259970 142.892945
1.270832 143.804149
1.281693 144.718841
1.292555 145.636997
1.303417 146.558591
1.314279 147.483602
1.325141 148.412004
1.336003 149.343775
1.346864 150.278892
1.357726 151.217332
1.368588 152.159073
1.379450 153.104094
1.390312 154.052372
1.401173 155.003886
1.412035 155.958616
1.422897 156.916540
1.433759 157.877639
1.444621 158.841893
1.455482 159.809281
1.466344 160.779783
1.477206 161.753382
1.488068 162.730058
1.498930 163.709792
1.509791 164.692566
1.520653 165.678362
1.531515 166.667163
1.542377 167.658949
1.553239 168.653705
1.564101 169.651413
1.574962 170.652056
1.585824 171.655618
1.596686 172.662082
1.607548 173.671433
1.618410 174.683654
1.629271 175.698730
1.640133 176.716645
1.650995 177.737385
1.661857 178.760934
1.672719 179.787277
1.683580 180.816401
1.694442 181.848290
1.705304 182.882931
1.716166 183.920309
1.727028 184.960411
1.737889 186.003224
1.748751 187.048734
1.759613 188.096928
1.770475 189.147793
1.781337 190.201316
1.792198 191.257485
1.803060 192.316287
1.813922 193.377710
1.824784 194.441742
1.835646 195.508371
1.846508 196.577584
1.857369 197.649372
1.868231 198.723722
1.879093 199.800623
1.889955 200.880063
1.900817 201.962032
1.911678 203.046520
1.922540 204.133515
1.933402 205.223006
1.944264 206.314984
1.955126 207.409438
1.965987 208.506358
1.976849 209.605734
1.987711 210.707557
1.998573 211.811816
2.009435 212.918501
2.020296 214.027604
2.031158 215.139115
2.042020 216.253025
2.052882 217.369325
2.063744 218.488005
2.074606 219.609057
2.085467 220.732472
2.096329 221.858242
2.107191 222.986357
2.118053 224.116809
2.128915 225.249591
2.139776 226.384693
2.150638 227.522108
2.161500 228.661827
