# z, H_model(z)
0.000000 49.050481
0.010862 49.851895
0.021724 50.657630
0.032585 51.467664
0.043447 52.281973
0.054309 53.100536
0.065171 53.923331
0.076033 54.750337
0.086894 55.581532
0.097756 56.416895
0.108618 57.256407
0.119480 58.100046
0.130342 58.947793
0.141204 59.799629
0.152065 60.655533
0.162927 61.515488
0.173789 62.379473
0.184651 63.247472
0.195513 64.119464
0.206374 64.995433
0.217236 65.875361
0.228098 66.759230
0.238960 67.647023
0.249822 68.538722
0.260683 69.434312
0.271545 70.333775
0.282407 71.237095
0.293269 72.144257
0.304131 73.055243
0.314992 73.970038
0.325854 74.888627
0.336716 75.810995
0.347578 76.737126
0.358440 77.667005
0.369302 78.600617
0.380163 79.537948
0.391025 80.478984
0.401887 81.423710
0.412749 82.372112
0.423611 83.324176
0.434472 84.279889
0.445334 85.239236
0.456196 86.202205
0.467058 87.168783
0.477920 88.138955
0.488781 89.112709
0.499643 90.090033
0.510505 91.070913
0.521367 92.055337
0.532229 93.043293
0.543090 94.034768
0.553952 95.029750
0.564814 96.028228
0.575676 97.030189
0.586538 98.035622
0.597399 99.044515
0.608261 100.056857
0.619123 101.072635
0.629985 102.091840
0.640847 103.114459
0.651709 104.140483
0.662570 105.169899
0.673432 106.202697
0.684294 107.238867
0.695156 108.278398
0.706018 109.321279
0.716879 110.367501
0.727741 111.417052
0.738603 112.469923
0.749465 113.526104
0.760327 114.585584
0.771188 115.648354
0.782050 116.714405
0.792912 117.783726
0.803774 118.856307
0.814636 119.932141
0.825497 121.011216
0.836359 122.093524
0.847221 123.179055
0.858083 124.267801
0.868945 125.359752
0.879807 126.454900
0.890668 127.553235
0.901530 128.654749
0.912392 129.759434
0.923254 130.867279
0.934116 131.978278
0.944977 133.092421
0.955839 134.209700
0.966701 135.330107
0.977563 136.453633
0.988425 137.580271
0.999286 138.710012
1.010148 139.842848
1.021010 140.978772
1.031872 142.117775
1.042734 143.259850
1.053595 144.404988
1.064457 145.553183
1.075319 146.704426
1.086181 147.858710
1.097043 149.016028
1.107905 150.176372
1.118766 151.339735
1.129628 152.506109
1.140490 153.675487
1.151352 154.847863
1.162214 156.023229
1.173075 157.201577
1.183937 158.382902
1.194799 159.567196
1.205661 160.754451
1.216523 161.944663
1.227384 163.137822
1.238246 164.333924
1.249108 165.532961
1.259970 166.734927
1.270832 167.939815
1.281693 169.147618
1.292555 170.358331
1.303417 171.571946
1.314279 172.788458
1.325141 174.007861
1.336003 175.230147
1.346864 176.455311
1.357726 177.683347
1.368588 178.914248
1.379450 180.148009
1.390312 181.384624
1.401173 182.624086
1.412035 183.866390
1.422897 185.111530
1.433759 186.359501
1.444621 187.610295
1.455482 188.863908
1.466344 190.120334
1.477206 191.379568
1.488068 192.641603
1.498930 193.906435
1.509791 195.174058
1.520653 196.444466
1.531515 197.717653
1.542377 198.993616
1.553239 200.272347
1.564101 201.553843
1.574962 202.838097
1.585824 204.125105
1.596686 205.414861
1.607548 206.707361
1.618410 208.002598
1.629271 209.300569
1.640133 210.601268
1.650995 211.904690
1.661857 213.210830
1.672719 214.519683
1.683580 215.831245
1.694442 217.145511
1.705304 218.462475
1.716166 219.782133
1.727028 221.104481
1.737889 222.429514
1.748751 223.757226
1.759613 225.087614
1.770475 226.420673
1.781337 227.756398
1.792198 229.094785
1.803060 230.435829
1.813922 231.779526
1.824784 233.125872
1.835646 234.474861
1.846508 235.826491
1.857369 237.180756
1.868231 238.537652
1.879093 239.897174
1.889955 241.259320
1.900817 242.624084
1.911678 243.991462
1.922540 245.361451
1.933402 246.734046
1.944264 248.109243
1.955126 249.487037
1.965987 250.867426
1.976849 252.250405
1.987711 253.635970
1.998573 255.024117
2.009435 256.414843
2.020296 257.808142
2.031158 259.204013
2.042020 260.602450
2.052882 262.003450
2.063744 263.407010
2.074606 264.813124
2.085467 266.221791
2.096329 267.633006
2.107191 269.046766
2.118053 270.463066
2.128915 271.881904
2.139776 273.303275
2.150638 274.727177
2.161500 276.153605
