# z, H_obs, sigma_H, H_model, residual
0.070000 69.000000 19.600000 72.697620 -3.697620
0.090000 69.000000 12.000000 72.993606 -3.993606
0.120000 68.600000 26.200000 73.557833 -4.957833
0.170000 83.000000 8.000000 74.792042 8.207958
0.179000 75.000000 4.000000 75.050262 -0.050262
0.199000 75.000000 5.000000 75.660827 -0.660827
0.200000 72.900000 29.600000 75.692650 -2.792650
0.270000 77.000000 14.000000 78.203824 -1.203824
0.280000 88.800000 36.600000 78.605097 10.194903
0.352000 83.000000 14.000000 81.769517 1.230483
0.380200 83.000000 13.500000 83.128847 -0.128847
0.400000 95.000000 17.000000 84.119673 10.880327
0.400400 77.000000 10.200000 84.139987 -7.139987
0.424700 87.100000 11.200000 85.395326 1.704674
0.449700 92.800000 12.900000 86.728771 6.071229
0.470000 89.000000 50.000000 87.841098 1.158902
0.478300 80.900000 9.000000 88.303202 -7.403202
0.480000 97.000000 62.000000 88.398360 8.601640
0.593000 104.000000 13.000000 95.078241 8.921759
0.680000 92.000000 8.000000 100.631581 -8.631581
0.781000 105.000000 12.000000 107.441357 -2.441357
0.875000 125.000000 17.000000 114.072671 10.927329
0.880000 90.000000 40.000000 114.432457 -24.432457
0.900000 117.000000 23.000000 115.878287 1.121713
1.037000 154.000000 20.000000 126.048421 27.951579
1.300000 168.000000 17.000000 146.669280 21.330720
1.363000 160.000000 33.600000 151.791141 8.208859
1.430000 177.000000 18.000000 157.307395 19.692605
1.530000 140.000000 14.000000 165.666566 -25.666566
1.750000 202.000000 40.000000 184.550152 17.449848
1.965000 186.500000 50.400000 203.608289 -17.108289
