# z, H_model(z)
0.000000 72.223897
0.010862 72.235916
0.021724 72.271503
0.032585 72.329978
0.043447 72.410680
0.054309 72.512973
0.065171 72.636238
0.076033 72.779880
0.086894 72.943317
0.097756 73.125989
0.108618 73.327351
0.119480 73.546875
0.130342 73.784046
0.141204 74.038369
0.152065 74.309358
0.162927 74.596545
0.173789 74.899473
0.184651 75.217699
0.195513 75.550794
0.206374 75.898340
0.217236 76.259931
0.228098 76.635174
0.238960 77.023686
0.249822 77.425095
0.260683 77.839043
0.271545 78.265178
0.282407 78.703162
0.293269 79.152665
0.304131 79.613369
0.314992 80.084963
0.325854 80.567147
0.336716 81.059630
0.347578 81.562131
0.358440 82.074374
0.369302 82.596096
0.380163 83.127039
0.391025 83.666954
0.401887 84.215602
0.412749 84.772748
0.423611 85.338166
0.434472 85.911639
0.445334 86.492953
0.456196 87.081904
0.467058 87.678295
0.477920 88.281932
0.488781 88.892631
0.499643 89.510211
0.510505 90.134499
0.521367 90.765326
0.532229 91.402531
0.543090 92.045955
0.553952 92.695448
0.564814 93.350860
0.575676 94.012051
0.586538 94.678883
0.597399 95.351223
0.608261 96.028942
0.619123 96.711915
0.629985 97.400023
0.640847 98.093149
0.651709 98.791181
0.662570 99.494009
0.673432 100.201530
0.684294 100.913640
0.695156 101.630242
0.706018 102.351241
0.716879 103.076544
0.727741 103.806063
0.738603 104.539712
0.749465 105.277407
0.760327 106.019068
0.771188 106.764617
0.782050 107.513979
0.792912 108.267081
0.803774 109.023852
0.814636 109.784224
0.825497 110.548131
0.836359 111.315509
0.847221 112.086296
0.858083 112.860432
0.868945 113.637860
0.879807 114.418523
0.890668 115.202366
0.901530 115.989338
0.912392 116.779387
0.923254 117.572464
0.934116 118.368521
0.944977 119.167511
0.955839 119.969390
0.966701 120.774114
0.977563 121.581641
0.988425 122.391930
0.999286 123.204941
1.010148 124.020636
1.021010 124.838978
1.031872 125.659931
1.042734 126.483459
1.053595 127.309529
1.064457 128.138107
1.075319 128.969161
1.086181 129.802661
1.097043 130.638576
1.107905 131.476876
1.118766 132.317535
1.129628 133.160522
1.140490 134.005813
1.151352 134.853381
1.162214 135.703200
1.173075 136.555246
1.183937 137.409495
1.194799 138.265924
1.205661 139.124510
1.216523 139.985232
1.227384 140.848066
1.238246 141.712994
1.249108 142.579995
1.259970 143.449049
1.270832 144.320136
1.281693 145.193239
1.292555 146.068339
1.303417 146.945418
1.314279 147.824459
1.325141 148.705446
1.336003 149.588362
1.346864 150.473191
1.357726 151.359918
1.368588 152.248527
1.379450 153.139003
1.390312 154.031333
1.401173 154.925503
1.412035 155.821498
1.422897 156.719305
1.433759 157.618912
1.444621 158.520305
1.455482 159.423472
1.466344 160.328401
1.477206 161.235080
1.488068 162.143498
1.498930 163.053644
1.509791 163.965505
1.520653 164.879072
1.531515 165.794334
1.542377 166.711281
1.553239 167.629902
1.564101 168.550188
1.574962 169.472129
1.585824 170.395716
1.596686 171.320939
1.607548 172.247789
1.618410 173.176258
1.629271 174.106337
1.640133 175.038017
1.650995 175.971291
1.661857 176.906149
1.672719 177.842585
1.683580 178.780589
1.694442 179.720155
1.705304 180.661275
1.716166 181.603942
1.727028 182.548149
1.737889 183.493887
1.748751 184.441151
1.759613 185.389934
1.770475 186.340229
1.781337 187.292029
1.792198 188.245328
1.803060 189.200119
1.813922 190.156397
1.824784 191.114155
1.835646 192.073387
1.846508 193.034088
1.857369 193.996251
1.868231 194.959872
1.879093 195.924943
1.889955 196.891460
1.900817 197.859418
1.911678 198.828811
1.922540 199.799633
1.933402 200.771880
1.944264 201.745547
1.955126 202.720628
1.965987 203.697119
1.976849 204.675015
1.987711 205.654311
1.998573 206.635002
2.009435 207.617084
2.020296 208.600552
2.031158 209.585402
2.042020 210.571629
2.052882 211.559229
2.063744 212.548197
2.074606 213.538530
2.085467 214.530223
2.096329 215.523273
2.107191 216.517674
2.118053 217.513423
2.128915 218.510516
2.139776 219.508950
2.150638 220.508719
2.161500 221.509821
