# z, H_obs, sigma_H, H_model, residual
0.070000 69.000000 19.600000 71.349136 -2.349136
0.090000 69.000000 12.000000 71.981411 -2.981411
0.120000 68.600000 26.200000 72.969321 -4.369321
0.170000 83.000000 8.000000 74.722076 8.277924
0.179000 75.000000 4.000000 75.051757 -0.051757
0.199000 75.000000 5.000000 75.799933 -0.799933
0.200000 72.900000 29.600000 75.837905 -2.937905
0.270000 77.000000 14.000000 78.629485 -1.629485
0.280000 88.800000 36.600000 79.049763 9.750237
0.352000 83.000000 14.000000 82.233515 0.766485
0.380200 83.000000 13.500000 83.555466 -0.555466
0.400000 95.000000 17.000000 84.508616 10.491384
0.400400 77.000000 10.200000 84.528083 -7.528083
0.424700 87.100000 11.200000 85.726306 1.373694
0.449700 92.800000 12.900000 86.990919 5.809081
0.470000 89.000000 50.000000 88.041351 0.958649
0.478300 80.900000 9.000000 88.476876 -7.576876
0.480000 97.000000 62.000000 88.566510 8.433490
0.593000 104.000000 13.000000 94.846249 9.153751
0.680000 92.000000 8.000000 100.097265 -8.097265
0.781000 105.000000 12.000000 106.619776 -1.619776
0.875000 125.000000 17.000000 113.075965 11.924035
0.880000 90.000000 40.000000 113.429302 -23.429302
0.900000 117.000000 23.000000 114.852381 2.147619
1.037000 154.000000 20.000000 125.002810 28.997190
1.300000 168.000000 17.000000 146.268290 21.731710
1.363000 160.000000 33.600000 151.674174 8.325826
1.430000 177.000000 18.000000 157.544685 19.455315
1.530000 140.000000 14.000000 166.529055 -26.529055
1.750000 202.000000 40.000000 187.169099 14.830901
1.965000 186.500000 50.400000 208.406528 -21.906528
