# z, H_model(z)
0.000000 68.149918
0.010862 68.507664
0.021724 68.871263
0.032585 69.240703
0.043447 69.615975
0.054309 69.997066
0.065171 70.383962
0.076033 70.776648
0.086894 71.175110
0.097756 71.579331
0.108618 71.989292
0.119480 72.404975
0.130342 72.826360
0.141204 73.253427
0.152065 73.686155
0.162927 74.124521
0.173789 74.568502
0.184651 75.018075
0.195513 75.473216
0.206374 75.933899
0.217236 76.400098
0.228098 76.871789
0.238960 77.348943
0.249822 77.831534
0.260683 78.319535
0.271545 78.812916
0.282407 79.311650
0.293269 79.815708
0.304131 80.325060
0.314992 80.839678
0.325854 81.359531
0.336716 81.884589
0.347578 82.414822
0.358440 82.950199
0.369302 83.490691
0.380163 84.036265
0.391025 84.586892
0.401887 85.142540
0.412749 85.703178
0.423611 86.268776
0.434472 86.839301
0.445334 87.414722
0.456196 87.995009
0.467058 88.580130
0.477920 89.170054
0.488781 89.764750
0.499643 90.364187
0.510505 90.968333
0.521367 91.577158
0.532229 92.190632
0.543090 92.808722
0.553952 93.431400
0.564814 94.058634
0.575676 94.690393
0.586538 95.326649
0.597399 95.967371
0.608261 96.612529
0.619123 97.262094
0.629985 97.916035
0.640847 98.574325
0.651709 99.236933
0.662570 99.903832
0.673432 100.574992
0.684294 101.250385
0.695156 101.929983
0.706018 102.613757
0.716879 103.301681
0.727741 103.993727
0.738603 104.689867
0.749465 105.390075
0.760327 106.094323
0.771188 106.802586
0.782050 107.514837
0.792912 108.231049
0.803774 108.951198
0.814636 109.675258
0.825497 110.403203
0.836359 111.135008
0.847221 111.870649
0.858083 112.610101
0.868945 113.353340
0.879807 114.100342
0.890668 114.851083
0.901530 115.605540
0.912392 116.363689
0.923254 117.125508
0.934116 117.890973
0.944977 118.660063
0.955839 119.432754
0.966701 120.209026
0.977563 120.988856
0.988425 121.772222
0.999286 122.559104
1.010148 123.349480
1.021010 124.143330
1.031872 124.940633
1.042734 125.741369
1.053595 126.545517
1.064457 127.353059
1.075319 128.163973
1.086181 128.978242
1.097043 129.795845
1.107905 130.616764
1.118766 131.440980
1.129628 132.268475
1.140490 133.099229
1.151352 133.933227
1.162214 134.770448
1.173075 135.610876
1.183937 136.454493
1.194799 137.301283
1.205661 138.151227
1.216523 139.004310
1.227384 139.860514
1.238246 140.719823
1.249108 141.582221
1.259970 142.447692
1.270832 143.316220
1.281693 144.187789
1.292555 145.062384
1.303417 145.939989
1.314279 146.820590
1.325141 147.704172
1.336003 148.590719
1.346864 149.480217
1.357726 150.372651
1.368588 151.268008
1.379450 152.166274
1.390312 153.067434
1.401173 153.971474
1.412035 154.878381
1.422897 155.788142
1.433759 156.700744
1.444621 157.616172
1.455482 158.534414
1.466344 159.455458
1.477206 160.379291
1.488068 161.305899
1.498930 162.235271
1.509791 163.167395
1.520653 164.102258
1.531515 165.039848
1.542377 165.980154
1.553239 166.923163
1.564101 167.868865
1.574962 168.817248
1.585824 169.768300
1.596686 170.722010
1.607548 171.678367
1.618410 172.637361
1.629271 173.598980
1.640133 174.563214
1.650995 175.530051
1.661857 176.499483
1.672719 177.471498
1.683580 178.446086
1.694442 179.423237
1.705304 180.402940
1.716166 181.385187
1.727028 182.369967
1.737889 183.357270
1.748751 184.347088
1.759613 185.339410
1.770475 186.334226
1.781337 187.331529
1.792198 188.331308
1.803060 189.333555
1.813922 190.338260
1.824784 191.345414
1.835646 192.355009
1.846508 193.367037
1.857369 194.381487
1.868231 195.398353
1.879093 196.417624
1.889955 197.439294
1.900817 198.463354
1.911678 199.489795
1.922540 200.518609
1.933402 201.549789
1.944264 202.583326
1.955126 203.619212
1.965987 204.657441
1.976849 205.698003
1.987711 206.740892
1.998573 207.786099
2.009435 208.833618
2.020296 209.883441
2.031158 210.935560
2.042020 211.989969
2.052882 213.046659
2.063744 214.105624
2.074606 215.166858
2.085467 216.230352
2.096329 217.296100
2.107191 218.364095
2.118053 219.434330
2.128915 220.506798
2.139776 221.581494
2.150638 222.658409
2.161500 223.737538
